gene	zcount_L1HFK240241--Normal	zcount_L1HFK240242--G1	zcount_L1HFK240243--G5	zcount_L1HFK240244--G10	zcount_L1HFK240245--G15	zcount_L1HFK240246--G20	zcount_L1HFK240247--G25
abhd10b_1	34.4916404790949	46.0128295330688	43.9714213075595	17.8038719486873	2.99719334439327	28.5221853705338	23.2782984665989
abhd11	0	0	0	0	0	0	0
abhd12	0	0	0	0	0	0	0
abhd12_1	29.2706455846565	36.536022296866	35.1644560305299	9.9237453469301	1.69567239895126	12.8520988025548	14.5380656052295
abhd13	0	0	0	0	0	0	0
abhd14a	0	0	0	0	0	0	0
abhd14b	0	0	0	0	0	0	0
abhd15a	0	0	0	0	0	0	0
abhd15a_1	0	0	0.336174397833316	0.297264427708616	0	0.244433557414854	0
abhd16a	0	0	0	0	0	0	0
abhd17aa	0	0	0	0	0	0	0
abhd17ab	0	0	0	0	0	0	0
abhd17ab_1	13.2795857435386	18.9277276844056	17.0497931018229	11.6905920713968	0.998007237074868	8.50977970599998	9.3587194813206
abhd17b	0	0	0	0	0	0	0
abhd17c	0	0	0	0	0	0	0
abhd17c_1	21.5462566118041	31.4153640144518	18.8438084971694	13.0921700661307	5.68142674117922	16.0937053220445	14.359161505584
abhd18	0	0	0	0	0	0	0
abhd2a	0	0	0	0	0	0	0
abhd2b	0	0	0	0	0	0	0
abhd2b_1	0.519664654817823	0	0.139471741150799	1.10995925994775	0	2.12961800609805	0.956509153261212
abhd3	0	0	0	0	0	0	0
abhd4	0	0	0	0	0	0	0
abhd5a	0	0	0	0	0	0	0
abhd6a	0	0	0	0	0	0	0
abhd6b	0	0	0	0	0	0	0
abhd6b_1	0.258315154641609	0	0	0	0.538718681855912	0.680523129573494	1.66411709248517
abhd8a	0	0	0	0	0	0	0
abhd8b	0	0	0	0	0	0	0
abhd8b_1	33.7779662445342	11.5873639869105	14.1572379653261	13.8363816433323	1.08561368749852	6.19658242575374	8.41034270377165
abi1a	0	0	0	0	0	0	0
abi1b	0	0	0	0	0	0	0
abi2a	0	0	0	0	0	0	0
abi2a_1	198.503857584027	358.846905842074	120.422237566818	42.764232597442	0.713761482620397	39.0711379034308	40.0019012958043
abi2b	0	0	0	0	0	0	0
abi3a	0	0	0	0	0	0	0
abi3b	0	0	0	0	0	0	0
abi3bp	0	0	0	0	0	0	0
abi3bpb	0	0	0	0	0	0	0
abi3bpb_1	0.186304750367719	0	0.0750029302865322	0.0994827534092143	0	0	0
abi3bpb_2	0.092770185460731	0	0.0746952049161008	0	0	0	0
abl1	0	0	0	0	0	0	0
abl2	0	0	0	0	0	0	0
ablim1a	0	0	0	0	0	0	0
ablim1b	0	0	0	0	0	0	0
ablim1b_1	54.0702286737502	15.7425652717509	28.3292532475697	5.52580785908389	0.26977026288208	9.31467115035085	5.23806105846427
ablim2	0	0	0	0	0	0	0
ablim2_1	1.49385706607935	6.70109646991125	1.30303310671772	0.797687733887941	0.0649052697079108	0.819899861561753	1.43210139634601
ablim3	0	0	0	0	0	0	0
ablim3_1	0.872537517938637	0.466762854635239	0.100362245194143	0	0	0	0
ablim3_2	0.24984736504194	1.05253734320096	0.201168080422294	0.400239453218728	0	0	0
abo	0	0	0	0	0	0	0
abraa	0	0	0	0	0	0	0
abrab	0	0	0	0	0	0	0
abracl	0	0	0	0	0	0	0
abraxas2a	0	0	0	0	0	0	0
abraxas2a_1	68.0251798337705	111.44432883984	83.3142719511654	72.6479832388965	8.74181392114705	58.2643462215182	56.4322387069063
abraxas2b	0	0	0	0	0	0	0
abt1	0	0	0	0	0	0	0
abtb1	0	0	0	0	0	0	0
abtb2a	0	0	0	0	0	0	0
abtb2b	0	0	0	0	0	0	0
abtb2b_1	7.23903410789061	14.5524933948746	4.78559474174671	3.01101282656237	0.874041105599296	2.20822187383284	5.32974665163239
acaa1	0	0	0	0	0	0	0
acaa2	0	0	0	0	0	0	0
acaca	0	0	0	0	0	0	0
acaca_1	349.858249972248	131.321399253147	113.829333339479	113.518298657851	21.9559499020487	23.4518677300419	26.0740833871357
acacb	0	0	0	0	0	0	0
acad11	0	0	0	0	0	0	0
acad11_1	25.1568168085937	33.363652443275	43.7660476423377	32.9433294761887	10.1494361816761	33.7949088103619	42.9968812134409
acad8	0	0	0	0	0	0	0
acad8_1	166.40355971811	268.149753711075	276.224584910888	190.202117411639	74.4565925554539	318.923685896369	318.372306779197
acad9	0	0	0	0	0	0	0
acadl	0	0	0	0	0	0	0
acadl_1	149.108431144895	181.411185508434	139.776951408153	96.0470639340228	68.8540673212842	200.454227332264	214.405219753476
acadm	0	0	0	0	0	0	0
acads	0	0	0	0	0	0	0
acadsb	0.389177048817479	3.27898896935237	1.2534052515124	0.623436669815747	2.63780527269035	0.683516442248994	0.35816502621638
acadvl	0	0	0	0	0	0	0
acana	0	0	0	0	0	0	0
acanb	0	0	0	0	0	0	0
acanb_1	0.510904795849157	0.478288793427877	0.352596086731136	0.467678121579017	0.228320732497357	0.384560735584247	0.738874332649737
acap1	0	0	0	0	0	0	0
acap1_1	108.475397655709	67.5378128553945	33.3603733366971	38.1339256816733	4.66782045102869	27.3342064528207	28.2632111732765
acap2	0	0	0	0	0	0	0
acap3a	0	0	0	0	0	0	0
acap3b	0	0	0	0	0	0	0
acat1	0	0	0	0	0	0	0
acat2	0	0	0	0	0	0	0
acbd3	0	0	0	0	0	0	0
acbd4	0	0	0	0	0	0	0
acbd5a	0	0	0	0	0	0	0
acbd5b	0	0	0	0	0	0	0
acbd6	0	0	0	0	0	0	0
acbd7	0	0	0	0	0	0	0
accs	0	0	0	0	0	0	0
acd	0	0	0	0	0	0	0
ace	0	0	0	0	0	0	0
ace2	0	0	0	0	0	0	0
acer1	0	0	0	0	0	0	0
acer2	0	0	0	0	0	0	0
acer3	0	0	0	0	0	0	0
ache	0	0	0	0	0	0	0
acin1a	0	0	0	0	0	0	0
acin1a_1	341.920856684581	402.355217253002	287.076086023791	368.627193757317	59.3448270471098	204.030885885173	267.905294909097
acin1b	0	0	0	0	0	0	0
ackr3a	0	0	0	0	0	0	0
ackr3a_1	0	0	0	0	0	0.188150530454832	0
ackr3b	0	0	0	0	0	0	0
ackr3b_1	32.0432147868514	2.29489728761936	8.74099715474567	4.11397393576917	0	2.92152994552916	2.41719788601633
ackr4a	0	0	0	0	0	0	0
ackr4b	0	0	0	0	0	0	0
ackr4b_1	21.9758048431019	59.948919207327	29.3633685153788	70.0711833257633	13.3878348318765	25.1083955329145	7.82889191768188
aclya	0	0	0	0	0	0	0
aclyb	0	0	0	0	0	0	0
acmsd	0	0	0	0	0	0	0
aco1	0	0	0	0	0	0	0
aco2	0	0	0	0	0	0	0
aco2_1	454.890757906544	492.258533464854	514.510370372758	216.12124468008	108.969879308899	323.4622104877	332.076166181051
acot11a	0	0	0	0	0	0	0
acot11b	0	0	0	0	0	0	0
acot12	0	0	0	0	0	0	0
acot13	0	0	0	0	0	0	0
acot13_1	24.1782984744546	23.8922503186012	52.9948427306533	58.0981249865324	140.066857282537	64.8765383526731	76.6444786596026
acot14	0	0	0	0	0	0	0
acot14_1	17.7288492382776	9.30675423152773	11.873289964055	24.0652036649541	2.07329055967801	5.52907035123594	8.08180922248241
acot15	0	0	0	0	0	0	0
acot15_1	16.5968738384146	15.8450045940693	16.5386185303576	22.8140366623951	6.68269562543501	16.0176812780087	13.4595605673131
acot16	0	0	0	0	0	0	0
acot16_1	0.601006139476254	0.562638095450008	2.0969366209406	1.49764733381019	0	0	0
acot17	0	0	0	0	0	0	0
acot17_1	0	0.354765845659912	0	0.404711402416703	0	0	0.348760693125782
acot18	0	0	0	0	0	0	0
acot18_1	18.0834275717626	12.9228909998218	10.0031380649547	7.960806706878	1.00760346050828	4.00032379341879	2.41378737753518
acot19	0	0	0	0	0	0	0
acot20	0	0	0	0	0	0	0
acot21	0	0	0	0	0	0	0
acot22	0	0	0	0	0	0	0
acot7	0	0	0	0	0	0	0
acot8	0	0	0	0	0	0	0
acot9.1	0	0	0	0	0	0	0
acot9.1_1	2.57053489044202	17.7808641844748	14.0279796375319	1.67763526601787	1.9358714064418	4.01303295609262	8.93708454047795
acot9.2	0	0	0	0	0	0	0
acot9.2_1	0	0	0	0	0	0	0
acox1	0	0	0	0	0	0	0
acox3	0	0	0	0	0	0	0
acoxl	0	0	0	0	0	0	0
acp1	0	0	0	0	0	0	0
acp2	0	0	0	0	0	0	0
acp5a	0	0	0	0	0	0	0
acp5a_1	8.23320291286071	10.1514702905527	4.85054474552867	27.4504074960672	4.81609398264259	1.76342385855535	8.50117095085168
acp5b	0	0	0	0	0	0	0
acp5b_1	10.3826876952377	0.498454367135983	1.07176479267372	1.42157262622821	0	2.57163672434065	0.245008493208458
acp5b_2	0.266851139295384	0	0	0	0	0.234336970660896	0
acp6	0	0	0	0	0	0	0
acrc	0	0	0	0	0	0	0
acsbg1	0	0	0	0	0	0	0
acsbg2	0	0	0	0	0	0	0
acsf2	0	0	0	0	0	0	0
acsf3	0	0	0	0	0	0	0
acsf3_1	22.1678299375446	44.9146479249688	27.5380506729342	21.1377629063346	3.46734131998438	27.6706889133006	20.1099127955021
acsf3_2	5.33381366027323	23.351042398998	9.72599284289609	9.88472969686123	1.96300914692917	16.5314869404255	6.49691809234085
acsl1a	0	0	0	0	0	0	0
acsl1a_1	36.6158942984428	42.7010266173383	35.9677917140604	24.6915150650869	8.29081736968503	7.4414637466101	7.70242616527022
acsl1b	0	0	0	0	0	0	0
acsl2	0	0	0	0	0	0	0
acsl3a	0	0	0	0	0	0	0
acsl3b	0	0	0	0	0	0	0
acsl4a	0	0	0	0	0	0	0
acsl4a_1	811.71033694812	384.660272295985	224.005756280373	481.286405477651	30.9663939084319	166.077958778386	113.476693521136
acsl4b	0	0	0	0	0	0	0
acsl5	0	0	0	0	0	0	0
acsl6	0	0	0	0	0	0	0
acsm3	0	0	0	0	0	0	0
acss1	0	0	0	0	0	0	0
acss1_1	3.80375100610579	4.1544075197371	4.59396452814837	7.67312646451107	3.08496162301414	1.67014368061682	1.55584209519041
acss2	0	0	0	0	0	0	0
acss2_1	67.5750117378894	81.9643093346805	67.6563594798628	36.1463655879866	3.79893737137581	30.7543320629175	36.0162485016433
acss2l	0	0	0	0	0	0	0
acss3	0	0	0	0	0	0	0
acta1a	0	0	0	0	0	0	0
acta1b	0	0	0	0	0	0	0
acta2	0	0	0	0	0	0	0
actb1	0	0	0	0	0	0	0
actb1_1	4898.48583901725	8920.80641459649	8156.54807962071	8959.64434695993	7036.18117679011	5755.09878869232	4792.2796535716
actb2	0	0	0	0	0	0	0
actc1a	0	0	0	0	0	0	0
actc1b	0	0	0	0	0	0	0
actl6a	0	0	0	0	0	0	0
actl6a_1	748.322602034542	857.135254494386	703.266597405697	451.036127118615	104.339075582978	343.814662834367	466.759015429434
actl6b	0	0	0	0	0	0	0
actn1	0	0	0	0	0	0	0
actn2a	0	0.964359701945699	0.829417370306041	1.65019000074237	0	0	0.237008975206967
actn2b	0	0	0	0	0	0	0
actn2b_1	8.37593005996062	4.94103852023633	2.58673840894838	9.68035172796785	2.51253217435945	2.31744677379228	1.79512650402868
actn3a	0	0	0	0	0	0	0
actn3a_1	1.59283562012101	1.19291959373433	0.940495416689389	1.47426962026247	0	0.279751681005009	0.293181734828656
actn3b	0	0	0	0	0	0	0
actn4	0	0	0	0	0	0	0
actr1	0	0	0	0	0	0	0
actr10	0	0	0	0	0	0	0
actr2a	0	0	0	0	0	0	0
actr2b	0	0	0	0	0	0	0
actr3	0	0	0	0	0	0	0
actr3b	0	0	0	0	0	0	0
actr5	0	0	0	0	0	0	0
actr6	0	0	0	0	0	0	0
actr8	0	0	0	0	0	0	0
acvr1ba	0	0	0	0	0	0	0
acvr1bb	0	0	0	0	0	0	0
acvr1c	0	0	0	0	0	0	0
acvr1l	0	0	0	0	0	0	0
acvr2aa	0	0	0	0	0	0	0
acvr2ab	0	0	0	0	0	0	0
acvr2b	0	0	0	0	0	0	0
acvrl1	0	0	0	0	0	0	0
acy1	0	0	0	0	0	0	0
acy3.1	0	0	0	0	0	0	0
acy3.2	0	0	0	0	0	0	0
acyp1	0	0	0	0	0	0	0
acyp2	0	0	0	0	0	0	0
ada	0	0	0	0	0	0	0
adad1	0	0	0	0	0	0	0
adad2	0	0	0	0	0	0	0
adal	0	0	0	0	0	0	0
adal_1	68.7008796846395	83.3317755232788	57.1531918660062	36.8066773079443	8.80602028372883	35.2760719979542	16.1741878645783
adam10a	0	0	0	0	0	0	0
adam10b	0	0	0	0	0	0	0
adam11	0	0	0	0	0	0	0
adam12	0	0	0	0	0	0	0
adam12_1	0	0	0	0	0	0	0
adam15	0	0	0	0	0	0	0
adam17a	0	0	0	0	0	0	0
adam17b	0	0	0	0	0	0	0
adam19a	0	0	0	0	0	0	0
adam19b	0	0	0	0	0	0	0
adam22	0	0	0	0	0	0	0
adam23a	0	0	0	0	0	0	0
adam28	0	0	0	0	0	0	0
adam28_1	0.231040734362693	0	0	0.493483249540802	0	0	0.21262998661279
adam28_2	1.84581114582004	0.215996892425592	0.185772564063445	0.985623687518229	0	0	0.212340694113997
adam8a	0	0	0	0	0	0	0
adam8b	0	0	0	0	0	0	0
adam9	0	0	0	0	0	0	0
adamts1	0	0	0	0	0	0	0
adamts10	0	0	0	0	0	0	0
adamts12	0	0	0	0	0	0	0
adamts13	0	0	0	0	0	0	0
adamts13_1	0.276984726863563	0.388953162759029	0.27877263084245	0.591615688302081	0	0.0608089607411188	0.0637282197524654
adamts15a	0	0	0	0	0	0	0
adamts15a_1	0	0	0.189840576415199	0	0	0.414101202238442	0
adamts17	0	0	0	0	0	0	0
adamts18	0	0	0	0	0	0	0
adamts2	0	0	0	0	0	0	0
adamts2_1	9.57160657057909	2.72712640866178	10.3873076618051	0	0	4.01995728442944	0
adamts3	0	0	0	0	0	0	0
adamts3_1	10.6227050841657	7.34002862627461	5.29472587509685	5.94240679611102	0	3.10946462038776	2.09490483454748
adamts3_2	3.2879801450989	2.8413014037192	2.24007633177174	4.59185979699488	0	0.444209231483966	0.931068815354439
adamts5	0	0	0	0	0	0	0
adamts6	0	0	0	0	0	0	0
adamts7	0	0	0	0	0	0	0
adamts8a	0	0	0	0	0	0	0
adamts8a_1	37.8913541463891	30.0907644560093	53.7511431943003	61.5907027368382	14.9537388365428	8.73931267419535	10.5810447575449
adamts9	0	0	0	0	0	0	0
adamtsl2	0	0	0	0	0	0	0
adamtsl3	0	0	0	0	0	0	0
adamtsl4	0	0	0	0	0	0	0
adamtsl5	0	0	0	0	0	0	0
adamtsl7	0	0	0	0	0	0	0
adamtsl7_1	991.840697909583	1079.69296189703	1007.15444803503	2367.23041383042	1336.11696432863	195.178951796685	76.6540510145595
adap2	0	0	0	0	0	0	0
adar	0	0	0	0	0	0	0
adarb1a	0	0	0	0	0	0	0
adarb1b	0	0	0	0	0	0	0
adarb2	0	0	0	0	0	0	0
adat1	0	0	0	0	0	0	0
adat2	0	0	0	0	0	0	0
adat3	0	0	0	0	0	0	0
adck1	0	0	0	0	0	0	0
adck2	0	0	0	0	0	0	0
adck2_1	20.3202789919971	35.8549421178242	41.3740207687223	21.9284266300029	3.7718756893682	16.5364131990809	18.7010340923422
adck3	0	0	0	0	0	0	0
adck4	0	0	0	0	0	0	0
adck4_1	34.5213917503534	16.6152411154523	24.7331759026965	12.9139940886158	4.88099571668876	12.245959582671	13.821071401244
adck5	0	0	0	0	0	0	0
adcy1a	0	0	0	0	0	0	0
adcy1b	0	0	0	0	0	0	0
adcy2a	0	0	0	0	0	0	0
adcy2a_1	1.48921096836194	1.74267525722075	0.599529460314521	0	0	0.326939944796926	0
adcy2b	0	0	0	0	0	0	0
adcy3a	0	0	0	0	0	0	0
adcy3b	0	0	0	0	0	0	0
adcy5	0	0	0	0	0	0	0
adcy6a	0	0	0	0	0	0	0
adcy6a_1	22.7563489876237	22.422728760903	28.738622788123	26.0810618521157	11.1745811271702	18.9713240928071	17.0923032290024
adcy6a_2	24.8766759089721	24.6865520479714	28.7103597638129	22.7941354408815	9.45699472132337	17.4956757379048	15.3187666343258
adcy6b	0	0	0	0	0	0	0
adcy6b_1	31.133423086143	63.3956361423744	95.880332239344	28.8823388000067	4.039364634195	20.4105122390101	58.0312565747713
adcy7	0	0	0	0	0	0	0
adcy8	0	0	0	0	0	0	0
adcy8_1	12.4085779772353	8.99335605598928	36.5260139728206	82.2183473166883	76.9389671498972	43.7038450282572	70.3606176471914
adcy9	0	0	0	0	0	0	0
adcyap1a	0	0	0	0	0	0	0
adcyap1b	0	0	0	0	0	0	0
adcyap1r1a	0	0	0	0	0	0	0
adcyap1r1b	0	0	0	0	0	0	0
adcyap1r1b_1	0.127363048458293	0.119232231267601	3.79428079587337	2.72036579168569	0.531233668251455	1.11844645028163	0
add1	0	0	0	0	0	0	0
add2	0	0	0	0	0	0	0
add3a	0	0	0	0	0	0	0
add3a_1	23.4718199338708	29.6640714891757	19.8435953378496	22.5602100101491	18.3565128705055	42.2544424848096	24.841656982679
add3b	0	0	0	0	0	0	0
add3b_1	0.558071243182941	0.130611037377878	0.224669411084545	0.595996224044343	0	0	0.128400172911384
adgb	0	0	0	0	0	0	0
adgra1	0	0	0	0	0	0	0
adgra1a	0	0	0	0	0	0	0
adgra1a_1	51.7427121864376	21.5608834671235	31.1836558891517	5.84576290305612	1.40002880337981	14.4205006284683	24.237487572665
adgra2	0	0	0	0	0	0	0
adgra3	0	0	0	0	0	0	0
adgrb1a	0	0	0	0	0	0	0
adgrb1b	0	0	0	0	0	0	0
adgrb2	0	0	0	0	0	0	0
adgrb3	0	0	0	0	0	0	0
adgrb3_1	0	0	0.236642694257595	0.627758587804071	0	0.258095571672443	0.180323986335977
adgrd1	0	0	0	0	0	0	0
adgrd2	0	0	0	0	0	0	0
adgre10	0	0	0	0	0	0	0
adgre13	0	0	0	0	0	0	0
adgre13_1	0.371894515399598	0.696305771635135	6.88702893748364	4.76600927845986	0	0	1.36903868573498
adgre14	0	0	0	0	0	0	0
adgre15	0	0	0	0	0	0	0
adgre5b.2	0	0	0	0	0	0	0
adgre5b.3	0	0	0	0	0	0	0
adgre9	0	0	0	0	0	0	0
adgrf11	0	0	0	0	0	0	0
adgrf3a	0	0	0	0	0	0	0
adgrf3a_1	0	0	0.0661865412441261	0.0877888282023628	0	0.144373383281628	0
adgrf3b	0	0	0	0	0	0	0
adgrf6	0	0	0	0	0	0	0
adgrf7	0	0	0	0	0	0	0
adgrf8	0	0	0	0	0	0	0
adgrg1	0	0	0	0	0	0	0
adgrg11	0	0	0	0	0	0	0
adgrg11_1	0.174200204439873	0.489237953567984	0.35064929272376	0.55811510810932	0	0.305949963749357	0
adgrg2a	0	0	0	0	0	0	0
adgrg3	0	0	0	0	0	0	0
adgrg4a	0	0	0	0	0	0	0
adgrg4a_1	0.273816844492276	0.59811841309455	1.24931549406499	0.292424681240271	0.0951746002794418	0.801513158530676	0
adgrg6	0	0	0	0	0	0	0
adgrg7.1	0	0	0	0	0	0	0
adgrl1.1	0	0	0	0	0	0	0
adgrl1a	0	0	0	0	0	0	0
adgrl1a_1	0.716204931861017	1.50858592413387	2.30664944266714	8.31802912740573	1.26026897125999	2.00474551606308	0.247174993016425
adgrl2a	0	0	0	0	0	0	0
adgrl3.1	0	0	0	0	0	0	0
adgrl4	0	0	0	0	0	0	0
adgrv1	0	0	0	0	0	0	0
adh5	0	0	0	0	0	0	0
adh5_1	576.926788927633	537.390564389142	454.15564036793	501.660316678043	223.268848900311	437.650521750479	426.020236601416
adh8a	0	0	0	0	0	0	0
adh8a_1	0	1.07268726981629	0.184517344035989	0.978964068007971	0.238965415296221	0	0.421811919388615
adh8b	0	0	0	0	0	0	0
adh8b_1	3.88534539538771	1.92563267303948	4.96853980301761	9.27509083301352	8.81788823559368	4.21474938268867	2.52404976022298
adhfe1	0	0	0	0	0	0	0
adi1	0	0	0	0	0	0	0
adipoqa	0	0	0	0	0	0	0
adipoqb	0	0	0	0	0	0	0
adipor1a	0	0	0	0	0	0	0
adipor1a_1	138.811945261455	211.782476488635	118.300820793403	46.7667630295134	1.05783294507998	33.8524636360318	58.9737641633755
adipor1a_2	23.1401031804194	60.0370309765405	44.7157820868503	56.4860358928576	37.917709171759	59.2201043867835	48.6769310483548
adipor1b	0	0	0	0	0	0	0
adipor2	0	0	0	0	0	0	0
adka	0	0	0	0	0	0	0
adkb	0	0	0	0	0	0	0
adm2a	0	0	0	0	0	0	0
adm2a_1	0.762603255861569	1.96327698174358	0.921030924699037	0.407213833797582	0	0.669684743586283	0.175458583669239
adm2b	0	0	0	0	0	0	0
adma	0	0	0	0	0	0	0
admb	0	0	0	0	0	0	0
admb_1	127.132359424257	464.621205344648	1209.0214816085	2274.65444664256	186.104887388362	1105.29546961188	210.68482631586
admb_2	140.467921601626	514.141960773231	1316.93148063306	3667.50348065054	200.474131495558	1297.35104829775	275.117564461002
admp	0	0	0	0	0	0	0
adnp2a	0	0	0	0	0	0	0
adnp2b	0	0	0	0	0	0	0
adnpa	0	0	0	0	0	0	0
adnpa_1	172.829080250088	211.271886594019	202.68660246184	95.2576463550458	15.9528032846739	78.0838588933541	120.914035656784
adnpb	0	0	0	0	0	0	0
adnpb_1	6.4712150019701	10.8332986854264	8.70441414648788	1.54480749676679	0.0793869393127736	0.869124526650952	1.82169726802176
adoa	0	0	0	0	0	0	0
adob	0	0	0	0	0	0	0
adora1b	0	0	0	0	0	0	0
adora2aa	0	0	0	0	0	0	0
adora2aa_1	0	0.462513374895296	0.795588256877682	3.95721090855371	0.515176714695421	2.386209167378	1.59139529674656
adora2ab	0	0	0	0	0	0	0
adora2b	0	0	0	0	0	0	0
adpgk	0	0	0	0	0	0	0
adpgk_1	68.7650382141782	80.1482814685029	72.0213820557922	22.8214079181826	1.2855490031283	13.2320887997172	11.5981241809277
adpgk2	0	0	0	0	0	0	0
adprh	0	0	0	0	0	0	0
adprhl1	0	0	0	0	0	0	0
adprhl2	0	0	0	0	0	0	0
adprhl2_1	66.1944587261439	88.1331558090448	132.482081141677	126.798288982073	162.372113783804	82.6724571190085	144.466662205476
adprm	0	0	0	0	0	0	0
adra1aa	0	0	0	0	0	0	0
adra1ab	0	0	0	0	0	0	0
adra1ab_1	0	0	0	0	0	0	0
adra1ba	0	0	0	0	0	0	0
adra1bb	0	0	0	0	0	0	0
