gene	zcount_SL-1	zcount_SL-2	zcount_SL-3	zcount_Sn-1	zcount_Sn-2	zcount_Sn-3
abhd6b_1	1.9795677495159	34.4530904652031	77.8691420801579	49.2589615076553	0	3.64186628344735
abhd8a	0	0	0	0	0	0
abhd8b	0	0	0	0	0	0
abhd8b_1	3.39819045404903	3.28808065411934	1.70103123733483	2.80751032628587	0.88640257777857	3.26178064813531
abi1a	0	0	0	0	0	0
abi1b	0	0	0	0	0	0
abi2a	0	0	0	0	0	0
abi2a_1	28.4134223986603	68.8457679084659	32.7126673270708	32.0388853207576	3.23960227452853	0
abi2b	0	0	0	0	0	0
abi3a	0	0	0	0	0	0
abi3b	0	0	0	0	0	0
abi3bp	0	0	0	0	0	0
abi3bpb	0	0	0	0	0	0
abi3bpb_1	2.97442604494458	2.8514806728982	1.54101937279564	1.13040651972949	0.125964054382931	2.62662478998427
abi3bpb_2	2.3697779495937	1.21704921030272	2.3873061484587	0.16082409105717	0.292710234687981	0
abl1	0	0	0	0	0	0
abl2	0	0	0	0	0	0
ablim1a	0	0	0	0	0	0
ablim1b	0	0	0	0	0	0
ablim1b_1	2.97388152759082	9.61632882262068	4.75536192588265	5.38190276343262	1.51595641650325	0
ablim2	0	0	0	0	0	0
ablim2_1	2.30549951667942	0.816577704692003	0.572057210940736	1.7264756892054	0.140281128649983	2.63265026436027
ablim3	0	0	0	0	0	0
ablim3_1	2.8656807663885	2.99796956030467	0.229117217377146	0	0.112369256892871	3.51471549442585
ablim3_2	2.71245744241525	3.27773989898101	0.688870661307419	0	0.168926380113537	3.52248282148535
abo	0	0	0	0	0	0
abraa	0	0	0	0	0	0
abrab	0	0	0	0	0	0
abracl	0	0	0	0	0	0
abraxas2a	0	0	0	0	0	0
abraxas2a_1	43.1359835417993	233.055755793984	307.75150846735	326.374774892189	8.96109113151719	108.06260859133
abraxas2b	0	0	0	0	0	0
abt1	0	0	0	0	0	0
abtb1	0	0	0	0	0	0
abtb2a	0	0	0	0	0	0
abtb2b	0	0	0	0	0	0
abtb2b_1	12.5549781588315	7.66413794622442	1.68077631583882	7.26544781617069	1.33953192228876	2.14862746805948
acaa1	0	0	0	0	0	0
acaa2	0	0	0	0	0	0
acaca	0	0	0	0	0	0
acaca_1	25.2835767345937	35.1952428390704	36.83484882577	21.4218306063188	4.3789467146042	217.769986033463
acacb	0	0	0	0	0	0
acad11	0	0	0	0	0	0
acad11_1	30.7922564586766	37.9798161804665	28.0749009912971	47.5050933658355	41.2400381967686	19.0004123052968
acad8	0	0	0	0	0	0
acad8_1	15.1998389187975	35.4419259040605	30.5491009238599	40.5498535796561	1.94219349912751	34.7133969522059
acad9	0	0	0	0	0	0
acadl	0	0	0	0	0	0
acadl_1	207.463312660294	306.746086040109	326.660398194267	293.137257521102	44.6888834462115	93.9227005347525
acadm	0	0	0	0	0	0
acads	0	0	0	0	0	0
acadsb	36.0374838393177	57.8634863405885	13.949334475528	62.4067597403485	5.4380144510445	35.6643807183952
acadvl	0	0	0	0	0	0
acana	0	0	0	0	0	0
acanb	0	0	0	0	0	0
acanb_1	0	0	0	0	0	0
acap1	0	0	0	0	0	0
acap1_1	99.8556636889141	85.3578098692972	29.6597090285139	53.9606783899936	9.80711484548035	57.240345849137
acap2	0	0	0	0	0	0
acap3a	0	0	0	0	0	0
acap3b	0	0	0	0	0	0
acat1	0	0	0	0	0	0
acat2	0	0	0	0	0	0
acbd3	0	0	0	0	0	0
acbd4	0	0	0	0	0	0
acbd5a	0	0	0	0	0	0
acbd5b	0	0	0	0	0	0
acbd6	0	0	0	0	0	0
acbd7	0	0	0	0	0	0
accs	0	0	0	0	0	0
acd	0	0	0	0	0	0
ace	0	0	0	0	0	0
ace2	0	0	0	0	0	0
acer1	0	0	0	0	0	0
acer2	0	0	0	0	0	0
acer3	0	0	0	0	0	0
ache	0	0	0	0	0	0
acin1a	0	0	0	0	0	0
acin1a_1	295.771875519891	311.141586189151	397.036082693369	561.37130961989	71.5670152683537	649.659029833648
acin1b	0	0	0	0	0	0
ackr3a	0	0	0	0	0	0
ackr3a_1	1.36827356028341	1.87388162260127	0.393826878384848	2.97143589086551	0	0
ackr3b	0	0	0	0	0	0
ackr3b_1	91.2461161320483	65.4680740922569	15.7707637974587	44.3180382179308	9.07641353139719	32.0924189944052
ackr4a	0	0	0	0	0	0
ackr4b	0	0	0	0	0	0
ackr4b_1	3.01808227486574	4.47777634829443	8.25252974072068	1.6385681660149	2.23672493315683	1.11049011383334
aclya	0	0	0	0	0	0
aclyb	0	0	0	0	0	0
acmsd	0	0	0	0	0	0
aco1	0	0	0	0	0	0
aco2	0	0	0	0	0	0
aco2_1	52.2177435123189	89.8184184559307	161.775606884885	21.1440188760433	12.6665626331393	38.5182888505922
acot11a	0	0	0	0	0	0
acot11b	0	0	0	0	0	0
acot12	0	0	0	0	0	0
acot13	0	0	0	0	0	0
acot13_1	19.7296919035084	20.5588933267769	28.3937481487405	17.4645408981687	0	28.4065570108893
acot14	0	0	0	0	0	0
acot14_1	5.71386226087673	13.4043869708572	1.52278443693995	10.6277461873403	12.7709828795654	2.33598946270951
acot15	0	0	0	0	0	0
acot15_1	13.4324157887048	6.46734289660861	3.0204842465272	14.243528994792	12.6657955205768	39.3847370701687
acot16	0	0	0	0	0	0
acot16_1	2.04699543619955	3.06622596870123	0.368238599222218	0.347296442353818	2.34780727942795	0
acot17	0	0	0	0	0	0
acot17_1	0.484017216967295	0	0	0	0.683255302805591	5.34276025716913
acot18	0	0	0	0	0	0
acot18_1	20.6283528183681	15.9968248122328	6.85085657673863	8.85429240760501	3.111078022034	1.94618251126022
acot19	0	0	0	0	0	0
acot20	0	0	0	0	0	0
acot21	0	0	0	0	0	0
acot22	0	0	0	0	0	0
acot7	0	0	0	0	0	0
acot8	0	0	0	0	0	0
acot9.1	0	0	0	0	0	0
acot9.1_1	38.1211960083442	74.0027412876781	84.7862009937172	49.5135054235801	5.08521749314414	10.0668851161397
acot9.2	0	0	0	0	0	0
acot9.2_1	6.01339062404109	4.35529907826428	0.332849945799901	4.080964975849	0.32648878591084	0
acox1	0	0	0	0	0	0
acox3	0	0	0	0	0	0
acoxl	0	0	0	0	0	0
acp1	0	0	0	0	0	0
acp2	0	0	0	0	0	0
acp5a	0	0	0	0	0	0
acp5a_1	144.398469728576	995.809984051878	1696.80182307717	2005.51316983409	20.456194508361	342.566146862126
acp5b	0	0	0	0	0	0
acp5b_1	6.80055587418727	6.40304173751098	0.489346898338473	0.461517171824971	0.719992342242156	7.50670397200372
acp5b_2	3.40830377014735	7.58509242948694	0.490501926422671	1.38781953636116	0.481127848946502	3.76221119603963
acp6	0	0	0	0	0	0
acrc	0	0	0	0	0	0
acsbg1	0	0	0	0	0	0
acsbg2	0	0	0	0	0	0
acsf2	0	0	0	0	0	0
acsf3	0	0	0	0	0	0
acsf3_1	2.83134254369758	26.3122024103541	17.4629677446279	15.3718399190853	0.499602529420755	13.394314930438
acsf3_2	1.6029432347298	17.836544824936	31.7192758247704	14.14180832519	0.494980859398361	0
acsl1a	0	0	0	0	0	0
acsl1a_1	27.6592997228396	17.3845581625474	6.73040659991133	7.61716867057697	2.54640104754736	4.424833834207
acsl1b	0	0	0	0	0	0
acsl2	0	0	0	0	0	0
acsl3a	0	0	0	0	0	0
acsl3b	0	0	0	0	0	0
acsl4a	0	0	0	0	0	0
acsl4a_1	61.2196277190277	90.7525283474266	67.3544788171829	97.8449487937169	25.284032157137	132.214850603678
acsl4b	0	0	0	0	0	0
acsl5	0	0	0	0	0	0
acsl6	0	0	0	0	0	0
acsm3	0	0	0	0	0	0
acss1	0	0	0	0	0	0
acss1_1	29.6894049909223	47.12899845404	20.5867173019379	28.5743828028605	5.81033072533821	23.8343697453776
acss2	0	0	0	0	0	0
acss2_1	70.2479041922804	115.118404768093	97.6401360756801	93.1058921502396	17.2160331084179	74.559829992199
acss2l	0	0	0	0	0	0
acss3	0	0	0	0	0	0
acta1a	0	0	0	0	0	0
acta1b	0	0	0	0	0	0
acta2	0	0	0	0	0	0
actb1	0	0	0	0	0	0
actb1_1	8084.51254136337	18014.9200560154	10044.1169477851	4732.08117509115	824.70752083837	4761.88190193633
actb2	0	0	0	0	0	0
actc1a	0	0	0	0	0	0
actc1b	0	0	0	0	0	0
actl6a	0	0	0	0	0	0
actl6a_1	77.7712612002842	235.8308740536	250.463116686743	201.140146724485	11.4637861184329	78.5183978680849
actl6b	0	0	0	0	0	0
actn1	0	0	0	0	0	0
actn2a	1.64462949576966	1.12617866688604	0	0	0	0
actn2b	0	0	0	0	0	0
actn2b_1	1.90512189425388	9.53327766626835	10.3342251270898	13.3268547877659	0.672333850485712	3.2352979906403
actn3a	0	0	0	0	0	0
actn3a_1	2.44130161720198	0.464363589320259	0.390374419839208	0.184086686570136	0.239321186604181	0
actn3b	0	0	0	0	0	0
actn4	0	0	0	0	0	0
actr1	0	0	0	0	0	0
actr10	0	0	0	0	0	0
actr2a	0	0	0	0	0	0
actr2b	0	0	0	0	0	0
actr3	0	0	0	0	0	0
actr3b	0	0	0	0	0	0
actr5	0	0	0	0	0	0
actr6	0	0	0	0	0	0
actr8	0	0	0	0	0	0
acvr1ba	0	0	0	0	0	0
acvr1bb	0	0	0	0	0	0
acvr1c	0	0	0	0	0	0
acvr1l	0	0	0	0	0	0
acvr2aa	0	0	0	0	0	0
acvr2ab	0	0	0	0	0	0
acvr2b	0	0	0	0	0	0
acvrl1	0	0	0	0	0	0
acy1	0	0	0	0	0	0
acy3.1	0	0	0	0	0	0
acy3.2	0	0	0	0	0	0
acyp1	0	0	0	0	0	0
acyp2	0	0	0	0	0	0
ada	0	0	0	0	0	0
adad1	0	0	0	0	0	0
adad2	0	0	0	0	0	0
adal	0	0	0	0	0	0
adal_1	3.78973103594514	19.4629592420146	15.1032342835772	11.4745716219686	0.925912090191627	3.21788050482259
adam10a	0	0	0	0	0	0
adam10b	0	0	0	0	0	0
adam11	0	0	0	0	0	0
adam12	0	0	0	0	0	0
adam12_1	0	0	0	0	0	0
adam15	0	0	0	0	0	0
adam17a	0	0	0	0	0	0
adam17b	0	0	0	0	0	0
adam19a	0	0	0	0	0	0
adam19b	0	0	0	0	0	0
adam22	0	0	0	0	0	0
adam23a	0	0	0	0	0	0
adam28	0	0	0	0	0	0
adam28_1	55.4773412308699	13.1344039208146	0	5.20684427776919	0.728984072220202	13.0293472211618
adam28_2	165.321513301493	85.2574708927978	5.08920774272012	31.1985608153681	5.51194137560939	0
adam8a	0	0	0	0	0	0
adam8b	0	0	0	0	0	0
adam9	0	0	0	0	0	0
adamts1	0	0	0	0	0	0
adamts10	0	0	0	0	0	0
adamts12	0	0	0	0	0	0
adamts13	0	0	0	0	0	0
adamts13_1	4.06839298132779	5.90485043561325	4.7094393821721	16.0858239087937	50.6265256497473	40.0270697502697
adamts15a	0	0	0	0	0	0
adamts15a_1	6.92630824558343	3.60870390337934	2.38363136368278	1.63496107585683	3.18828725761733	0
adamts17	0	0	0	0	0	0
adamts18	0	0	0	0	0	0
adamts2	0	0	0	0	0	0
adamts2_1	47.3060017393005	33.6672148826316	3.82471134038782	2.88575645106755	5.43984398291997	0
adamts3	0	0	0	0	0	0
adamts3_1	14.8597977796745	13.2722801278649	3.2542845931264	1.31537556354589	2.05205871144632	0
adamts3_2	0.969117246500512	6.0831283919381	0.464897799018057	1.75383408472785	1.2540358792172	0
adamts5	0	0	0	0	0	0
adamts6	0	0	0	0	0	0
adamts7	0	0	0	0	0	0
adamts8a	0	0	0	0	0	0
adamts8a_1	1.42108936856991	0.675768773596185	0.34085727090389	0	0.19503346419159	0.871472649930084
adamts9	0	0	0	0	0	0
adamtsl2	0	0	0	0	0	0
adamtsl3	0	0	0	0	0	0
adamtsl4	0	0	0	0	0	0
adamtsl5	0	0	0	0	0	0
adamtsl7	0	0	0	0	0	0
adamtsl7_1	1.34175569216819	0	0.827559223650285	0	0.270581192925223	0
adap2	0	0	0	0	0	0
adar	0	0	0	0	0	0
adarb1a	0	0	0	0	0	0
adarb1b	0	0	0	0	0	0
adarb2	0	0	0	0	0	0
adat1	0	0	0	0	0	0
adat2	0	0	0	0	0	0
adat3	0	0	0	0	0	0
adck1	0	0	0	0	0	0
adck2	0	0	0	0	0	0
adck2_1	8.9682863884122	70.7161073563093	78.4173799691873	54.5922119083701	1.63044689965293	10.4994959257103
adck3	0	0	0	0	0	0
adck4	0	0	0	0	0	0
adck4_1	24.2878392154161	36.4610866925537	33.6988080261197	26.5416163525265	3.86811297074241	17.8732074733073
adck5	0	0	0	0	0	0
adcy1a	0	0	0	0	0	0
adcy1b	0	0	0	0	0	0
adcy2a	0	0	0	0	0	0
adcy2a_1	0.951032731472512	2.44211411244057	0	0	0	0
adcy2b	0	0	0	0	0	0
adcy3a	0	0	0	0	0	0
adcy3b	0	0	0	0	0	0
adcy5	0	0	0	0	0	0
adcy6a	0	0	0	0	0	0
adcy6a_1	106.008544241825	64.7863198122169	25.3483418126987	38.0435622770867	10.5844795696769	89.0863574602999
adcy6a_2	96.901421534995	57.1004149041638	23.4990560478531	33.3386682781193	8.79970022180783	80.6204851305972
adcy6b	0	0	0	0	0	0
adcy6b_1	8.70422247729363	8.94047232915269	8.96639181405638	5.34746905814627	5.78790798360669	4.04549105767037
adcy7	0	0	0	0	0	0
adcy8	0	0	0	0	0	0
adcy8_1	5.45328603223577	53.9708499790417	6.37652504349472	65.2275182089747	0.601409811183127	7.52442239207925
adcy9	0	0	0	0	0	0
adcyap1a	0	0	0	0	0	0
adcyap1b	0	0	0	0	0	0
adcyap1r1a	0	0	0	0	0	0
adcyap1r1b	0	0	0	0	0	0
adcyap1r1b_1	0.813359761895849	0.835435958104905	0	0	0	0
add1	0	0	0	0	0	0
add2	0	0	0	0	0	0
add3a	0	0	0	0	0	0
add3a_1	34.4757592085528	105.208078677933	47.4581829295181	46.7936891654509	8.46385461606927	16.5459184434822
add3b	0	0	0	0	0	0
add3b_1	3.92032044511972	7.01626449992696	1.79514423668552	4.1116984398952	0.754644380104077	1.96699729747691
adgb	0	0	0	0	0	0
adgra1	0	0	0	0	0	0
adgra1a	0	0	0	0	0	0
adgra1a_1	0	9.71020464135552	10.4410892711866	6.26645879770873	0	0
adgra2	0	0	0	0	0	0
adgra3	0	0	0	0	0	0
adgrb1a	0	0	0	0	0	0
adgrb1b	0	0	0	0	0	0
adgrb2	0	0	0	0	0	0
adgrb3	0	0	0	0	0	0
adgrb3_1	0	0.856832642570137	0.360154794039985	0	0	0
adgrd1	0	0	0	0	0	0
adgrd2	0	0	0	0	0	0
adgre10	0	0	0	0	0	0
adgre13	0	0	0	0	0	0
adgre13_1	6.6499295269739	6.50516361530223	4.78508293791942	0	0.502889388166944	0
adgre14	0	0	0	0	0	0
adgre15	0	0	0	0	0	0
adgre5b.2	0	0	0	0	0	0
adgre5b.3	0	0	0	0	0	0
adgre9	0	0	0	0	0	0
adgrf11	0	0	0	0	0	0
adgrf3a	0	0	0	0	0	0
adgrf3a_1	0.314974849141344	0	0	0.142504332744793	0.185262207952922	0
adgrf3b	0	0	0	0	0	0
adgrf6	0	0	0	0	0	0
adgrf7	0	0	0	0	0	0
adgrf8	0	0	0	0	0	0
adgrg1	0	0	0	0	0	0
adgrg11	0	0	0	0	0	0
adgrg11_1	1.77995032022898	1.52355141683504	0.960597763456416	3.17088608500392	0.0392599830515539	2.45596837707569
adgrg2a	0	0	0	0	0	0
adgrg3	0	0	0	0	0	0
adgrg4a	0	0	0	0	0	0
adgrg4a_1	0	0	0	1.42404625730493	0	0
adgrg6	0	0	0	0	0	0
adgrg7.1	0	0	0	0	0	0
adgrl1.1	0	0	0	0	0	0
adgrl1a	0	0	0	0	0	0
adgrl1a_1	0.114344835472015	0.097873650804336	0.411394977222657	1.00879601422267	0.201766363999935	0
adgrl2a	0	0	0	0	0	0
adgrl3.1	0	0	0	0	0	0
adgrl4	0	0	0	0	0	0
adgrv1	0	0	0	0	0	0
adh5	0	0	0	0	0	0
adh5_1	501.312115664972	617.511852095498	634.051817473634	818.880892854542	435.425082268099	685.226591464584
adh8a	0	0	0	0	0	0
adh8a_1	108.006152695631	209.448686889447	255.689705898183	1127.47771936245	990.817137455667	2888.44781389779
adh8b	0	0	0	0	0	0
adh8b_1	54.2953814747612	132.926267837214	165.099180427159	242.875588640683	42.6493577069669	186.888601718092
adhfe1	0	0	0	0	0	0
adi1	0	0	0	0	0	0
adipoqa	0	0	0	0	0	0
adipoqb	0	0	0	0	0	0
adipor1a	0	0	0	0	0	0
adipor1a_1	175.351282282558	492.420779988242	715.730092401218	398.039465023434	19.2812704998485	100.11682854785
adipor1a_2	53.1994362157913	143.113599536649	131.247989154361	102.006990340246	5.36415347378074	18.6423798447032
adipor1b	0	0	0	0	0	0
adipor2	0	0	0	0	0	0
adka	0	0	0	0	0	0
adkb	0	0	0	0	0	0
adm2a	0	0	0	0	0	0
adm2a_1	4.87010015947981	2.50114216574858	1.75218647690617	5.61862782877191	0.429675025302842	13.439489685684
adm2b	0	0	0	0	0	0
adma	0	0	0	0	0	0
admb	0	0	0	0	0	0
admb_1	23.277866024397	20.8966658205842	3.26829855037072	13.4856164427755	2.40437809702885	53.2700506637145
admb_2	34.3490462067321	20.8966658205842	4.0853731879634	19.6504696737586	2.60474293844792	56.4035830556977
admp	0	0	0	0	0	0
adnp2a	0	0	0	0	0	0
adnp2b	0	0	0	0	0	0
adnpa	0	0	0	0	0	0
adnpa_1	153.359227691503	299.838604844628	430.332304516161	262.482150898274	13.833444995875	128.106479539722
adnpb	0	0	0	0	0	0
adnpb_1	9.334850568312	19.4760656118745	35.9643058945423	11.3503181624761	0.377477466673459	12.8801897108858
adoa	0	0	0	0	0	0
adob	0	0	0	0	0	0
adora1b	0	0	0	0	0	0
adora2aa	0	0	0	0	0	0
adora2aa_1	45.1179486624612	23.2252818952742	9.98937717890074	11.1342278219449	9.24173710286113	41.7926039053142
adora2ab	0	0	0	0	0	0
adora2b	0	0	0	0	0	0
adpgk	0	0	0	0	0	0
adpgk_1	51.4375808968515	67.0904111794659	36.5093103917876	32.2957638364628	6.48312975375156	32.8312186239209
adpgk2	0	0	0	0	0	0
adprh	0	0	0	0	0	0
adprhl1	0	0	0	0	0	0
adprhl2	0	0	0	0	0	0
adprhl2_1	49.6537488843618	75.3534937742816	79.9563725749848	70.3090243139205	6.9145732975222	115.544638647143
adprm	0	0	0	0	0	0
adra1aa	0	0	0	0	0	0
adra1ab	0	0	0	0	0	0
adra1ab_1	0.432330747690348	4.07059639400648	1.55545895330143	0	0	0
adra1ba	0	0	0	0	0	0
adra1bb	0	0	0	0	0	0
adra1bb_1	307.865449706241	94.2731875602812	33.4772268226603	53.1591916105902	20.523398153794	128.387260864741
adra1d	0	0	0	0	0	0
adra2a	0	0	0	0	0	0
adra2a_1	36.1951551720401	17.6635482363329	3.06410711919917	4.22362369043299	3.17894539514227	16.270674431568
adra2a_2	34.7211443279299	17.6635482363329	3.06410711919917	4.22362369043299	3.12114638795786	14.4628217169493
adra2b	0	0	0	0	0	0
adra2c	0	0	0	0	0	0
adra2c_1	222.7671542233	106.185904002208	31.6753230176229	190.106703849196	34.4829588782187	158.288012699888
adra2c_2	324.813185948345	143.293881207281	39.3541892037133	211.833184289104	45.5457511463161	257.67816020912
adra2da	0	0	0	0	0	0
adra2db	0	0	0	0	0	0
adra2db_1	0.347111706078309	0	0	0	0	0
adrb1	0	0	0	0	0	0
adrb1_1	3.19308655419456	0	0.510588000395753	12.0387566933868	0	0
adrb2a	0	0	0	0	0	0
adrb2b	0	0	0	0	0	0
adrb2b_1	14.0838388247866	6.63029680866079	3.04028801752854	0	3.0650229412635	9.06865158796114
adrb3a	0	0	0	0	0	0
adrb3b	0	0	0	0	0	0
adrbk2	0	0	0	0	0	0
adrm1	0	0	0	0	0	0
adrm1_1	98.0765843899042	308.383399901654	446.069898452676	368.695863405784	17.1546690300117	53.6568299094576
adsl	0	0	0	0	0	0
adsl_1	70.3654681193594	209.817462715412	430.10268389155	427.869216979903	9.8427305176018	197.710531666654
adsl_2	29.4777941161886	196.148004442941	19.9201829692862	23.6580802541662	7.2368461066391	28.2944995867833
adss	0	0	0	0	0	0
adssl	0	0	0	0	0	0
adssl1	0	0	0	0	0	0
aebp1	0	0	0	0	0	0
aebp2	0	0	0	0	0	0
aep1	0	0	0	0	0	0
aes	0	0	0	0	0	0
aes_1	33.0728601423324	14.6598983723171	20.8234284087781	5.2103935922053	3.12634711662067	3.25955721211068
afap1	0	0	0	0	0	0
afap1_1	9.47705387497169	6.9353648163142	1.97814479311641	3.33852334916006	2.32330194292758	9.5827062728785
afap1l1a	0	0	0	0	0	0
afap1l1a_1	16.1513202011947	33.1793980943751	50.647403978032	22.3835828335111	3.11996681638268	3.75335198600186
afap1l1a_2	13.0910700578105	35.7988242597205	44.0412208504626	34.3830293009604	1.19998723707026	0
afap1l1b	0	0	0	0	0	0
afap1l2	0	0	0	0	0	0
afap1l2_1	187.79666409109	94.5697800555889	14.9814470157774	42.1999117035319	18.7607873255539	98.0561703078013
aff1	0	0	0	0	0	0
aff2	0	0	0	0	0	0
aff3	0	0	0	0	0	0
aff3_1	6.24711416604473	3.19237474018275	1.47604550867743	4.04974861406811	0.625202132167944	2.05844616020937
aff4	0	0	0	0	0	0
afg1la	0	0	0	0	0	0
afg1lb	0	0	0	0	0	0
afg3l2	0	0	0	0	0	0
afmid	0	0	0	0	0	0
afp4	0	0	0	0	0	0
aftpha	0	0	0	0	0	0
aftphb	0	0	0	0	0	0
aftphb_1	30.3046467392517	56.3898096426165	43.1911894015069	29.8059924081622	3.46159211158646	17.7760982534066
aga	0	0	0	0	0	0
