gene	zcount_ZF4_10_1	zcount_ZF4_10_2	zcount_ZF4_10_3	zcount_ZF4_20_1	zcount_ZF4_20_2	zcount_ZF4_20_3	zcount_ZF4_25_1	zcount_ZF4_25_2	zcount_ZF4_25_3	zcount_ZF4_5_1	zcount_ZF4_5_2	zcount_ZF4_5_3	zcount_ZF4_wt_1	zcount_ZF4_wt_2	zcount_ZF4_wt_3
aatkb_2	0.929852180492886	0.412982918984997	1.1463591482074	8.23144361332642	3.27869404169788	1.43899469900047	2.91728695187226	7.01709504498225	12.1948134668121	1.06923360113631	0.326945985649384	0	1.20131301392137	1.88207830888793	2.04927138722611
abat	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abca12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abca1a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abca1b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abca2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abca3b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abca4a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abca4b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abca5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abcb10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abcb11a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abcb11b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abcb3l1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abcb4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abcb5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abcb6a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abcb6b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abcb7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abcb8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abcb9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abcb9_1	11.3294959849365	10.709441325821	12.3280850804195	8.51038363733044	8.81486817676685	8.78021175932794	18.864345159722	20.7463765721123	49.2727651314904	11.2916539530873	10.686980900095	7.75621963543432	142.762546790749	143.591652805097	136.891586091994
abcc1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abcc10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abcc10_1	11.6818033248145	13.5761450037633	8.42505109746525	5.36211662305982	9.06190591084254	5.93997977730894	15.4567799498225	9.60804576342218	8.89332653154784	7.54306903341904	9.97522882813432	10.2849719390295	10.0928996030195	12.4873530948621	9.29686028150089
abcc10_2	11.6525988165025	13.4896727425928	8.35304211372623	5.2089132909724	9.06190591084254	5.68171978699116	15.4567799498225	9.60804576342218	8.3701896767509	6.71643133112654	10.0925844614065	9.72251253611379	9.90424727399103	12.1917944417293	9.4398889012163
abcc12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abcc13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abcc13_1	0.0411184985932644	0	0	0	0	0.121205750554177	0.336531637318369	0.13946032669551	0.105221533402709	0	0.0826154542657472	0	0.398419677685861	0.520164897711221	0.100688599782732
abcc13_2	0.0414103675497754	0	0	0	0	0.122066098016941	1.01676125857602	0	0.105968421061729	0	0	0	0.133749252011334	0.419085722244566	0.10140331159266
abcc2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abcc2_1	5.65415012384386	4.40565672602848	7.92454384770608	7.02497139767531	8.07962933154543	9.29834329827799	15.0194094912689	15.0388086185589	11.2704907751383	4.42219967303731	7.71307388292145	4.17567945801745	11.630044630821	12.5737260556761	10.5663450718743
abcc3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abcc4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abcc4_1	30.813185127563	27.7775099947971	19.3522415008916	10.7438035213727	26.8359830054014	15.3458251588124	30.4241104556262	33.5214715106135	25.2240171334155	26.4606069470328	25.0082324095243	21.7396462917739	139.723352955404	149.768282605074	132.205481570241
abcc5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abcc6a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abcc6b.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abcc8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abcc8_1	0.206373802622228	0.0872938088306673	0.0726931200308595	2.08789477380271	0.623727301928821	0.521427285889223	1.20646625992344	2.79980630808394	5.20562638964612	0.104311418163754	0	0.730032640949722	0.285666989438397	0.298366669445191	1.0107124495676
abcc8b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abcc9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abcd1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abcd3a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abcd3a_1	84.0105516130046	84.6115336490492	81.8818728542892	43.9617016101283	84.9763894660476	52.3203525519421	90.5979519163152	89.3293661910139	101.896465353051	74.4024084957391	74.5665212734016	51.5556241938369	91.2877309108018	92.185397896302	91.5161630058076
abcd3a_2	16.9203646015519	7.06930737548907	25.5952216934279	8.985130083513	12.9938378616592	6.88478856751064	28.036558490927	20.2443290251715	22.8448305994515	0.734560264279134	8.55125812633793	6.85451288214144	20.7872040328846	27.4455660118132	6.48194506579959
abcd3b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abcd4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abce1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abcf1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abcf2a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abcf2b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abcf3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abcg1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abcg2a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abcg2b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abcg2b_1	0	0	0.387305185560218	0	0	0	0.21426632876831	0.799136960886871	0	0	0	0	1.52201895180587	0.7948410951779	0.961611371646067
abcg2c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abcg2d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abcg4a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abcg4b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abcg5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abcg5_1	0.284025928939258	0	0.350158583050304	0.744982902088211	0.500743096826011	0	1.93715955463851	0.481660933582253	1.45363497168222	0	0.42799953692396	0	2.06406221531414	2.15582265882964	1.04325938684328
abcg8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abcg8_1	0.496803504414678	0	0.349988189579233	0	0	0.209205254119545	0.193621689792093	1.20356637174933	1.27131165589094	0	1.14077670571525	0	2.06305780547701	1.97520913031618	1.21654367104888
abch1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abch1_1	0.704977067578975	0.736723012144403	0	0.978941848734906	1.02355476914478	0.366718905785327	1.13134083742608	2.53169861194243	4.45700105690511	0.293448157893712	1.0831621301245	0	5.62545474965155	5.03617826697308	4.26499387660867
abhd10a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abhd10b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abhd10b_1	30.4054570928271	8.41726852759506	37.4850698046589	27.2322817785364	3.05071366362898	5.10070776357568	70.1369958345188	17.1875397714813	8.53979748512211	3.93581124652951	36.257122353363	48.9691047427562	26.7469033848495	37.5259300104753	15.4358183346583
abhd11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abhd12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abhd12_1	22.9759468064186	32.8318591942942	23.3994672296595	18.6033966683445	32.4056238085677	25.9127932568346	60.228944196937	41.3350856248321	34.5101405220688	22.6204311520478	30.7086736239264	15.3913548392377	31.6194224843999	36.6477547077187	35.2250100916619
abhd13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abhd14a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abhd14b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abhd15a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abhd15a_1	0.0598470720190026	0	1.1805100198364	0.313950529521786	1.05511522453901	1.76412309074955	1.30617176043579	1.01490721950959	0.918885791496294	0	0	3.45784438838023	0	0.151417717864727	0
abhd16a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abhd17aa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abhd17ab	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abhd17ab_1	15.1763519508082	12.9476578992069	12.4944857785105	13.2239063780547	18.4118909293446	14.1030907023128	21.4033923491074	16.1398887259189	11.6508073861298	12.2863948965736	10.6464947713941	9.12952812554178	21.6008580338304	23.9495294646513	23.5575452068037
abhd17b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abhd17c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abhd17c_1	20.0213911120395	19.2350425771478	20.8756646593769	12.0113873454244	21.0286505912067	13.3417041852251	32.5403199142374	27.9931346156593	24.663366555412	33.3468636951911	29.4213871767675	26.6637381205487	34.7408188564992	35.2972998723334	38.335116556491
abhd18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abhd2a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abhd2b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abhd2b_1	1.19180645156535	1.98497561316027	3.30594053435542	0	1.05058868322842	0	0	2.02110634847385	1.14367960872138	3.68968345208646	5.83679450201409	2.66423386517521	2.40584711738466	1.50768121935175	0.912008333578523
abhd3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abhd4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abhd5a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abhd6a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abhd6b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abhd6b_1	1.44403281693375	0.657795083450588	0.273886416445287	0	0	1.96458551659862	4.84865282586749	0.753489381247484	1.13700161151382	0	0	0	0	0.281039587537197	0
abhd8a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abhd8b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abhd8b_1	9.74968405321303	7.36429864060899	11.2838961667547	11.6121541950151	11.7515797235679	7.47808890109103	12.3493260912586	11.3037541537726	10.0560851089268	8.97594060997977	16.5907724087928	11.2225504370099	49.4843037516529	47.6988017828693	42.1457340881838
abi1a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abi1b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abi2a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abi2a_1	60.6348068398056	80.1806406664957	62.0522703123564	31.2678570514692	98.0784433130366	41.6468340390553	81.104237789703	96.3375331042096	102.061383555419	108.308724335486	103.494405346329	39.2771311866232	131.669997746463	137.399431930383	140.190129438968
abi2b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abi3a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abi3b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abi3bp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abi3bpb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abi3bpb_1	0.0801138777864923	0	0	0.52533468857772	0	5.4315222938535	3.93412046438314	2.17375788536764	1.74258534541334	0.708635794638961	0.321930256831206	0.220419999070968	0.646889406185	0.912124363067032	0
abi3bpb_2	0.319140731970042	0.590594190762187	0	0.627815186360443	0.281325580109581	3.99813214040826	12.5157674617386	2.43544420629145	0.816675665162825	0.282291348827184	0	0.439031300118924	0.257694127781136	0.100931339834885	0
abl1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abl2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ablim1a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ablim1b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ablim1b_1	19.5798072874252	22.3991518805501	16.7325589262795	1.16719670548374	44.3262678335281	6.88653908583445	30.3503106424677	25.2804021196501	25.3368797323933	26.765784763245	21.2345663971453	0.612165687732565	21.1997155373387	45.5978691889299	28.8765073405882
ablim2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ablim2_1	1.84684615548015	2.13979569677067	0.5939650914175	3.36985475695912	2.83132589708376	2.13025390435363	6.79097251690509	5.90076630965008	4.72604766921992	2.84104561748629	1.18311880311494	1.39919573460548	5.79213543661634	3.6568671014062	5.17787752081458
ablim3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ablim3_1	0	0	0	0.421773671689411	0.188997853892067	0.157999557962391	0.14623027288598	0.181795582061365	1.09730475260393	0	0	0	0.173121964565938	0.406841211065424	0.131254121069221
ablim3_2	0	0	0	0.281803845467622	0	0.47504618476869	0.146553433710037	0.910986701268828	1.09972973548261	0	0	0	0.173504554542879	0.135913435888155	0.131544185425175
abo	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abraa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abrab	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abracl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abraxas2a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abraxas2a_1	56.7527332593082	46.3559716012481	37.3326914721196	38.0927751068812	83.1682653536948	52.2215318651796	79.241317409192	57.9904797167864	20.2951977269877	53.9351911561452	67.0508427082739	76.7976121833734	163.675080414751	157.139831918865	132.667327516835
abraxas2b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abt1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abtb1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abtb2a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abtb2b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abtb2b_1	10.0595653908481	7.85873741970573	9.53365941261158	5.58653489428202	12.4781894692325	15.8405649839068	19.2197041321931	13.3363049774605	4.94720870810722	12.8688323989724	8.62454485121529	2.5243066799918	15.4516895922831	20.3943438992001	18.4549015027523
acaa1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
acaa2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
acaca	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
acaca_1	126.515204029916	135.028404864858	113.262536993662	52.0365289372371	171.27724387148	64.095936689392	135.190009959492	122.95503657818	102.161584274805	71.9248855606465	82.4956796791875	47.2257508819679	151.470162315634	164.955485326887	141.504432418196
acacb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
acad11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
acad11_1	20.8629271087594	22.4977535230317	16.0357171496948	17.5651509506043	24.2941095660545	22.0178138971378	27.5801915611796	29.0465998140987	34.108918873615	21.187928682568	27.0396187208152	28.3461091961993	44.2988151741167	39.5886135805875	44.3077404960915
acad8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
acad8_1	90.7906150218441	96.6616544135299	101.814168616434	59.708148709832	84.6216452751151	66.841268532623	113.614818046424	121.197604603469	108.827837548745	99.8966409013608	106.365523150855	76.9534487803126	178.964752321052	173.675664382016	163.555260021789
acad9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
acadl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
acadl_1	172.725011407356	142.450636438424	198.399934071053	178.566935840332	219.549668148696	151.501586540471	191.705606865381	135.168638571453	103.277153744158	187.21314372734	241.91212955805	119.61738757209	100.689774850404	180.132412928196	165.469818411519
acadm	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
acads	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
acadsb	0.58573218678839	0.991032638635252	1.03159169475807	2.41424895148896	2.36035873982932	5.67302715775117	21.9149093299966	8.23023957824453	7.494393152197	0	0	2.99286856455138	2.9728706376495	0.423413629875319	0
acadvl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
acana	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
acanb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
acanb_1	0.753246298310183	0.557575819606599	0.386930132120359	1.23482479090476	2.10264687935571	0.647604385734807	0.856235361572523	1.91607144785916	1.76691567410093	1.66568297500352	0.882831553244774	1.3816212035591	0.506848359784718	1.66754993483175	1.69079711543914
acap1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
acap1_1	11.9524963088559	9.67602838453889	7.61611039616135	4.22705768201433	13.7326258312791	19.0018473907476	50.3166789071128	20.6490318954268	18.3288289247102	11.5623347921715	11.6027547882744	6.15829662843304	47.1354039841488	50.6277548683377	46.5885656714161
acap2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
acap3a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
acap3b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
acat1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
acat2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
acbd3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
acbd4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
acbd5a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
acbd5b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
acbd6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
acbd7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
accs	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
acd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ace	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ace2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
acer1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
acer2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
acer3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ache	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
acin1a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
acin1a_1	78.677979111749	61.5440170083258	61.0600153659929	63.2236208271579	96.1463393770646	59.610552587987	153.544705298201	133.819764241914	95.0558311332792	85.5584321660001	120.529263782216	110.156955015415	281.009154013666	322.063027753022	257.247126353037
acin1b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ackr3a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ackr3a_1	0	0	0.227171740235415	0.72498178184895	4.87299267631377	0	0	0.624972556903315	2.82921626516294	0	0	0	0	0	0
ackr3b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ackr3b_1	43.5207784135047	38.5693070239333	49.7554195996042	27.056879024499	43.8066192424635	78.3482857083787	77.8530123831299	36.7743273854477	30.4434089203649	47.4202830391246	54.3109390008969	24.8595523990932	53.9888488175682	52.0074130682089	58.2638195372609
ackr4a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ackr4b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ackr4b_1	38.4771363872994	31.7914685820817	32.5706031744399	25.1419618724826	47.6523458002055	30.7511318026997	73.8309720031765	53.4183899528269	50.3579360397209	45.7786622667504	59.2062712875351	26.7454279109605	66.5135713597356	72.4127280024865	69.7530914407996
aclya	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aclyb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
acmsd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aco1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aco2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aco2_1	404.059159589838	438.178480940821	350.922565413323	239.698248746882	571.222687704272	276.304408797409	511.788749064793	503.204313520659	508.615313586154	492.127376711721	451.44223883275	279.137515215889	296.109531444436	323.357066834606	306.078077835452
acot11a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
acot11b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
acot12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
acot13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
acot13_1	40.1441123107584	24.7988746460872	54.1199558895888	46.9663775322423	78.4124026809983	57.0384661652466	46.4864589680046	54.8540269548169	46.5602159914909	50.0701003903931	42.35980631383	76.2819057378909	27.0512497067992	35.8044434522389	22.63080956384
acot14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
acot14_1	2.77872265066051	3.79734465126312	3.68923798761402	0.186882618574644	1.00491091439241	1.05011430682869	5.44259503206498	3.38315627896709	0.911628673618493	0.756270521235112	1.86100694267116	2.35236702477008	18.4099605504218	21.0911492315837	12.7363946411053
acot15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
acot15_1	16.6056777664354	11.0889782127527	10.2796313094802	4.26289756061667	12.7070839062287	9.78977202962027	12.53053159592	10.0658734055896	13.5618015617519	25.2513988135975	22.4320971765192	17.8862713005814	39.2554054653264	44.1590260047364	39.624817890175
acot16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
acot16_1	0.17229452393421	0.510150587460498	0.212411615353019	0	0	0	0	0.58436595249731	14.5496582472777	1.21920516398368	0.346174856799297	0.237019851334138	0	0.435918462417413	0.843809718675368
acot17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
acot17_1	0.733310519884236	0	0	0	0.861893564983766	0	0.889145413458661	0	61.925458858595	1.72970475638913	1.14595481227052	0	0.26316472937649	0.824592130584	1.39664650503098
acot18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
acot18_1	8.7852676221106	4.92128173544514	6.732678787327	2.49115975724735	6.48846478374022	5.59924196617878	12.9553951167359	6.84519189207371	15.0381998856173	13.2315021963101	9.3027624216065	5.06288679591762	24.5406197780795	23.2787023433589	21.2221406840395
acot19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
acot20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
acot21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
acot22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
acot7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
acot8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
acot9.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
acot9.1_1	13.9399327974064	15.8190716163461	13.0217711040711	5.95970637819999	2.165318570275	7.96477434841652	16.9209051893886	14.9961836096026	4.71436773447677	21.5102442020855	20.9752811653486	4.05498551554051	27.3713479791918	3.57352189643614	23.3082449817049
acot9.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
acot9.2_1	0	0	0	0	0	0	0.42487194076108	0	0.199263629994346	0	0	0	0	0.394025604310027	0.1906793718256
acox1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
acox3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
acoxl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
acp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
acp2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
acp5a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
acp5a_1	14.5070152976506	31.7042430807452	18.9494049535506	0.679482629169265	4.26269049506476	8.65433457982984	110.48645145836	7.61474851895401	14.8050871471999	0.305523141300232	1.38797876272637	36.3499201132212	7.25144257263578	13.9824266547814	7.8237247761314
acp5b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
acp5b_1	0.343439516115328	0	0	0	0	2.36218020448168	4.06012829104848	0.776555382714245	2.050663620766	0	0	0	0.739505283491235	1.73785704130144	3.36397924737221
acp5b_2	0	0	0	0	0	0	1.56527369206432	0.778388322248582	0	0	0	0	0	0	0
acp6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
acrc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
acsbg1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
acsbg2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
