gene	zcount_KL-1	zcount_KL-2	zcount_KL-3	zcount_Kn-1	zcount_Kn-2	zcount_Kn-3
abhd8b	0	0	0	0	0	0
abhd8b_1	3.3669032300644	1.90521719189505	2.81406654067243	1.14044737741514	4.64260906583349	0.742387313772916
abi1a	0	0	0	0	0	0
abi1b	0	0	0	0	0	0
abi2a	0	0	0	0	0	0
abi2a_1	9.37544751758658	48.4767230444723	38.9797651140681	37.1157505715369	11.4464596207734	57.5469279761185
abi2b	0	0	0	0	0	0
abi3a	0	0	0	0	0	0
abi3b	0	0	0	0	0	0
abi3bp	0	0	0	0	0	0
abi3bpb	0	0	0	0	0	0
abi3bpb_1	1.59486893880944	6.44372606093721	3.50214308389994	12.2449572849261	189.265056348346	5.14129211597002
abi3bpb_2	0.317665087866804	6.41728845401324	7.79620145453451	12.0930954765123	219.51544994699	6.07279320585841
abl1	0	0	0	0	0	0
abl2	0	0	0	0	0	0
ablim1a	0	0	0	0	0	0
ablim1b	0	0	0	0	0	0
ablim1b_1	12.4022653374329	15.3393962653628	0	3.11735815038504	0	0
ablim2	0	0	0	0	0	0
ablim2_1	0.106568504426595	0	0.963577998978311	0.477285169023233	0.416349476387833	0.958713718032164
ablim3	0	0	0	0	0	0
ablim3_1	0	7.39064627118362	2.06746594598867	0.819255594899226	4.79417776803178	0
ablim3_2	1.71106233700337	5.3494849713644	1.2432209589028	0.821066104501213	6.47599790073261	0
abo	0	0	0	0	0	0
abraa	0	0	0	0	0	0
abrab	0	0	0	0	0	0
abracl	0	0	0	0	0	0
abraxas2a	0	0	0	0	0	0
abraxas2a_1	94.7314981097033	238.277010678553	380.33547405153	415.087765704602	89.3215907829658	542.940138507422
abraxas2b	0	0	0	0	0	0
abt1	0	0	0	0	0	0
abtb1	0	0	0	0	0	0
abtb2a	0	0	0	0	0	0
abtb2b	0	0	0	0	0	0
abtb2b_1	3.78343330442485	4.26707012863702	1.09537142076623	1.25207508072388	6.2438624210867	0.782450542882836
acaa1	0	0	0	0	0	0
acaa2	0	0	0	0	0	0
acaca	0	0	0	0	0	0
acaca_1	30.7605185803295	22.7621394326023	39.37363022527	27.2059328747884	36.5018460990421	26.2432847747613
acacb	0	0	0	0	0	0
acad11	0	0	0	0	0	0
acad11_1	65.6322718935332	92.2384196769082	48.6804710132844	39.2036408549867	66.3578806470071	64.3874319941751
acad8	0	0	0	0	0	0
acad8_1	122.602196876322	22.9797085814439	68.9725650762931	43.8286874748493	40.8308994742345	95.0733620130151
acad9	0	0	0	0	0	0
acadl	0	0	0	0	0	0
acadl_1	274.411251616166	313.027955080139	257.391985702822	341.912843889585	195.282817001015	214.272792905006
acadm	0	0	0	0	0	0
acads	0	0	0	0	0	0
acadsb	85.621220665217	35.2536229908199	67.9931783949173	46.6813530067751	36.770191844896	90.9135256281717
acadvl	0	0	0	0	0	0
acana	0	0	0	0	0	0
acanb	0	0	0	0	0	0
acanb_1	0	0	0.403527353779152	0	0	0
acap1	0	0	0	0	0	0
acap1_1	119.95259925034	115.21967630631	44.7789771308508	29.535572370252	67.8935263786484	41.288765968723
acap2	0	0	0	0	0	0
acap3a	0	0	0	0	0	0
acap3b	0	0	0	0	0	0
acat1	0	0	0	0	0	0
acat2	0	0	0	0	0	0
acbd3	0	0	0	0	0	0
acbd4	0	0	0	0	0	0
acbd5a	0	0	0	0	0	0
acbd5b	0	0	0	0	0	0
acbd6	0	0	0	0	0	0
acbd7	0	0	0	0	0	0
accs	0	0	0	0	0	0
acd	0	0	0	0	0	0
ace	0	0	0	0	0	0
ace2	0	0	0	0	0	0
acer1	0	0	0	0	0	0
acer2	0	0	0	0	0	0
acer3	0	0	0	0	0	0
ache	0	0	0	0	0	0
acin1a	0	0	0	0	0	0
acin1a_1	287.13914261954	319.927620169828	335.862662822858	270.578428801817	380.001516120286	288.544008181911
acin1b	0	0	0	0	0	0
ackr3a	0	0	0	0	0	0
ackr3a_1	0	0	1.89532948883054	0.704104382097534	2.14973622568285	0
ackr3b	0	0	0	0	0	0
ackr3b_1	35.6749209570685	67.4830486707739	10.0681428886535	11.8921061237901	64.7109077956948	5.16919265788233
ackr4a	0	0	0	0	0	0
ackr4b	0	0	0	0	0	0
ackr4b_1	34.1186763810941	16.6052111298059	2.78709389764863	1.89821483286335	15.0157028471581	2.12309668758133
aclya	0	0	0	0	0	0
aclyb	0	0	0	0	0	0
acmsd	0	0	0	0	0	0
aco1	0	0	0	0	0	0
aco2	0	0	0	0	0	0
aco2_1	210.65947507551	143.991448180268	129.040803749253	92.8831030716998	60.8616753970305	140.018860601386
acot11a	0	0	0	0	0	0
acot11b	0	0	0	0	0	0
acot12	0	0	0	0	0	0
acot13	0	0	0	0	0	0
acot13_1	27.5972331384009	28.7601023708007	32.6766063257488	41.9353415848467	58.4018769482868	48.2748743853476
acot14	0	0	0	0	0	0
acot14_1	9.07774156319324	2.18313504900295	16.85565494842	5.26352709150814	4.98734603603705	3.40272336724133
acot15	0	0	0	0	0	0
acot15_1	0.56268583393461	29.77086476405	4.17920611427031	3.06010223298236	40.9441080703437	8.85857978364845
acot16	0	0	0	0	0	0
acot16_1	12.34784648691	23.7565841747084	2.43675224372462	1.09726052063437	4.35513110733681	0
acot17	0	0	0	0	0	0
acot17_1	44.7684166064981	166.646686857194	7.75218879122163	13.6989604530328	172.686469521833	0
acot18	0	0	0	0	0	0
acot18_1	28.361014926521	45.9255822116617	12.8218229949519	2.57063533124769	27.4698725400527	11.339641404547
acot19	0	0	0	0	0	0
acot20	0	0	0	0	0	0
acot21	0	0	0	0	0	0
acot22	0	0	0	0	0	0
acot7	0	0	0	0	0	0
acot8	0	0	0	0	0	0
acot9.1	0	0	0	0	0	0
acot9.1_1	31.0517289005498	60.2122434736374	48.3207270384494	58.6630124663367	22.9256922627769	73.8696320340904
acot9.2	0	0	0	0	0	0
acot9.2_1	7.44079163635474	2.98243289195744	3.2037443468433	0.79344882495846	1.51407387669334	0.232427079976742
acox1	0	0	0	0	0	0
acox3	0	0	0	0	0	0
acoxl	0	0	0	0	0	0
acp1	0	0	0	0	0	0
acp2	0	0	0	0	0	0
acp5a	0	0	0	0	0	0
acp5a_1	166.059283623274	646.915651496777	1566.54550974514	1780.89189453755	249.837787573557	1246.72578383207
acp5b	0	0	0	0	0	0
acp5b_1	60.6216694054387	6.13856791938053	0.294378589169815	1.45813348621193	4.45190011153316	4.10049532932281
acp5b_2	58.9372460267874	6.15305706474492	1.77044054729667	2.04620526043084	9.81729790134157	3.42514493152194
acp6	0	0	0	0	0	0
acrc	0	0	0	0	0	0
acsbg1	0	0	0	0	0	0
acsbg2	0	0	0	0	0	0
acsf2	0	0	0	0	0	0
acsf3	0	0	0	0	0	0
acsf3_1	15.4525823974648	13.0394416588149	6.82842884289982	32.088466980886	8.73794512087194	22.9659005835656
acsf3_2	6.17757213426083	20.6701084426875	33.8263056926259	31.6197797690893	11.8051541810452	23.1561659998105
acsl1a	0	0	0	0	0	0
acsl1a_1	27.0464092762795	24.4671729346808	28.5732466634111	5.50078833737396	29.2158347911651	5.10264188472074
acsl1b	0	0	0	0	0	0
acsl2	0	0	0	0	0	0
acsl3a	0	0	0	0	0	0
acsl3b	0	0	0	0	0	0
acsl4a	0	0	0	0	0	0
acsl4a_1	136.178615219763	94.3887325238081	78.1569878643901	51.3639279659169	175.69846640893	66.8718772344758
acsl4b	0	0	0	0	0	0
acsl5	0	0	0	0	0	0
acsl6	0	0	0	0	0	0
acsm3	0	0	0	0	0	0
acss1	0	0	0	0	0	0
acss1_1	57.526475463341	47.3339044051424	42.2940413651241	35.6485928300106	69.9688913977858	33.3621920610355
acss2	0	0	0	0	0	0
acss2_1	159.559453233566	169.557200367754	129.171203280225	105.306137647471	175.497110973294	175.280783078816
acss2l	0	0	0	0	0	0
acss3	0	0	0	0	0	0
acta1a	0	0	0	0	0	0
acta1b	0	0	0	0	0	0
acta2	0	0	0	0	0	0
actb1	0	0	0	0	0	0
actb1_1	4258.75142495487	7195.87514960633	11472.8746519202	7920.50589449677	5841.90606441987	5326.72169754073
actb2	0	0	0	0	0	0
actc1a	0	0	0	0	0	0
actc1b	0	0	0	0	0	0
actl6a	0	0	0	0	0	0
actl6a_1	88.3592309865923	154.099222252035	205.48076678979	275.954834960693	103.997068888957	266.634316021464
actl6b	0	0	0	0	0	0
actn1	0	0	0	0	0	0
actn2a	0	0	1.1390685576381	0	1.72261829676333	0
actn2b	0	0	0	0	0	0
actn2b_1	7.07202439186017	4.53539659537452	35.2708571324262	13.8256310390893	8.82608775833184	14.1381083885176
actn3a	0	0	0	0	0	0
actn3a_1	16.7262504123631	45.1225102101491	5.98840151932359	3.48965947670757	190.892291726682	0
actn3b	0	0	0	0	0	0
actn4	0	0	0	0	0	0
actr1	0	0	0	0	0	0
actr10	0	0	0	0	0	0
actr2a	0	0	0	0	0	0
actr2b	0	0	0	0	0	0
actr3	0	0	0	0	0	0
actr3b	0	0	0	0	0	0
actr5	0	0	0	0	0	0
actr6	0	0	0	0	0	0
actr8	0	0	0	0	0	0
acvr1ba	0	0	0	0	0	0
acvr1bb	0	0	0	0	0	0
acvr1c	0	0	0	0	0	0
acvr1l	0	0	0	0	0	0
acvr2aa	0	0	0	0	0	0
acvr2ab	0	0	0	0	0	0
acvr2b	0	0	0	0	0	0
acvrl1	0	0	0	0	0	0
acy1	0	0	0	0	0	0
acy3.1	0	0	0	0	0	0
acy3.2	0	0	0	0	0	0
acyp1	0	0	0	0	0	0
acyp2	0	0	0	0	0	0
ada	0	0	0	0	0	0
adad1	0	0	0	0	0	0
adad2	0	0	0	0	0	0
adal	0	0	0	0	0	0
adal_1	9.37860210961806	10.5256198240791	0	18.5016140708096	8.01521773781683	22.5577832444992
adam10a	0	0	0	0	0	0
adam10b	0	0	0	0	0	0
adam11	0	0	0	0	0	0
adam12	0	0	0	0	0	0
adam12_1	0	0	0	0	0	0
adam15	0	0	0	0	0	0
adam17a	0	0	0	0	0	0
adam17b	0	0	0	0	0	0
adam19a	0	0	0	0	0	0
adam19b	0	0	0	0	0	0
adam22	0	0	0	0	0	0
adam23a	0	0	0	0	0	0
adam28	0	0	0	0	0	0
adam28_1	10.2847318093552	43.3797708417259	0	1.01234989723923	1.15907099634058	0
adam28_2	18.1713074207781	98.0416990552491	2.55128110613839	4.54937647698121	8.10245820299036	2.07302819426875
adam8a	0	0	0	0	0	0
adam8b	0	0	0	0	0	0
adam9	0	0	0	0	0	0
adamts1	0	0	0	0	0	0
adamts10	0	0	0	0	0	0
adamts12	0	0	0	0	0	0
adamts13	0	0	0	0	0	0
adamts13_1	3.9123782687785	12.7734349192173	0.535987802820826	3.56513339679043	9.95851334871415	3.28857269691062
adamts15a	0	0	0	0	0	0
adamts15a_1	0	2.71829528303469	1.56428914536953	1.54966595322961	7.29418378371395	0
adamts17	0	0	0	0	0	0
adamts18	0	0	0	0	0	0
adamts2	0	0	0	0	0	0
adamts2_1	0	0	0	1.8234719621438	0	0
adamts3	0	0	0	0	0	0
adamts3_1	0	2.49937217299163	0	2.49350612273019	1.26884132932735	0
adamts3_2	0	0	0	2.21644988687129	1.26884132932735	0
adamts5	0	0	0	0	0	0
adamts6	0	0	0	0	0	0
adamts7	0	0	0	0	0	0
adamts8a	0	0	0	0	0	0
adamts8a_1	0	7.73725819763728	3.00741501631185	2.84387849754794	9.81981903588223	0.872734668992312
adamts9	0	0	0	0	0	0
adamtsl2	0	0	0	0	0	0
adamtsl3	0	0	0	0	0	0
adamtsl4	0	0	0	0	0	0
adamtsl5	0	0	0	0	0	0
adamtsl7	0	0	0	0	0	0
adamtsl7_1	0	5.43779335159285	0.165946160443515	0.328789745386548	1.25480547391443	0
adap2	0	0	0	0	0	0
adar	0	0	0	0	0	0
adarb1a	0	0	0	0	0	0
adarb1b	0	0	0	0	0	0
adarb2	0	0	0	0	0	0
adat1	0	0	0	0	0	0
adat2	0	0	0	0	0	0
adat3	0	0	0	0	0	0
adck1	0	0	0	0	0	0
adck2	0	0	0	0	0	0
adck2_1	18.397073350901	43.1047620587367	62.114251673161	78.7816532954441	14.0547659543716	63.0882043312279
adck3	0	0	0	0	0	0
adck4	0	0	0	0	0	0
adck4_1	43.4099663488599	78.0575919501218	40.0055254989849	31.5129561887883	32.288691976264	48.6905328320341
adck5	0	0	0	0	0	0
adcy1a	0	0	0	0	0	0
adcy1b	0	0	0	0	0	0
adcy2a	0	0	0	0	0	0
adcy2a_1	0	0	0	0	5.60323673752352	10.9909178686258
adcy2b	0	0	0	0	0	0
adcy3a	0	0	0	0	0	0
adcy3b	0	0	0	0	0	0
adcy5	0	0	0	0	0	0
adcy6a	0	0	0	0	0	0
adcy6a_1	60.1597854293411	44.0193429123152	28.2789470340891	9.77470722154343	73.1097940571939	21.3174311668951
adcy6a_2	61.4864793483496	41.8717307885752	27.7090169620288	9.01700227414266	68.2165724994033	19.7284964106633
adcy6b	0	0	0	0	0	0
adcy6b_1	0.859738253879786	4.01707469174352	5.47327501259766	9.27259404607492	4.43852934554675	10.9570589202149
adcy7	0	0	0	0	0	0
adcy8	0	0	0	0	0	0
adcy8_1	12.3357026567695	75.594701081152	104.898602427328	35.6624345389374	21.6426794643212	12.6730362466312
adcy9	0	0	0	0	0	0
adcyap1a	0	0	0	0	0	0
adcyap1b	0	0	0	0	0	0
adcyap1r1a	0	0	0	0	0	0
adcyap1r1b	0	0	0	0	0	0
adcyap1r1b_1	0	0	0	0.279032979561997	0.638947135797211	0
add1	0	0	0	0	0	0
add2	0	0	0	0	0	0
add3a	0	0	0	0	0	0
add3a_1	38.1769682760894	119.840139104308	25.9542091766328	41.1385370006144	27.4754638025278	22.5952900067356
add3b	0	0	0	0	0	0
add3b_1	0	4.13614736813875	3.08546542659271	3.66794648082401	0	2.50707646694781
adgb	0	0	0	0	0	0
adgra1	0	0	0	0	0	0
adgra1a	0	0	0	0	0	0
adgra1a_1	3.00601713475908	9.18542105841533	9.82134462356931	13.0104224765475	0	6.49557250883845
adgra2	0	0	0	0	0	0
adgra3	0	0	0	0	0	0
adgrb1a	0	0	0	0	0	0
adgrb1b	0	0	0	0	0	0
adgrb2	0	0	0	0	0	0
adgrb3	0	0	0	0	0	0
adgrb3_1	0	0.32270923204138	0	0.107317276801502	0.32765573322318	0
adgrd1	0	0	0	0	0	0
adgrd2	0	0	0	0	0	0
adgre10	0	0	0	0	0	0
adgre13	0	0	0	0	0	0
adgre13_1	0	4.90008491810201	3.70103607831261	8.55502265134077	7.46279045012269	0
adgre14	0	0	0	0	0	0
adgre15	0	0	0	0	0	0
adgre5b.2	0	0	0	0	0	0
adgre5b.3	0	0	0	0	0	0
adgre9	0	0	0	0	0	0
adgrf11	0	0	0	0	0	0
adgrf3a	0	0	0	0	0	0
adgrf3a_1	8.16289948521329	0	0	0.810419706878621	1.37462936066244	0
adgrf3b	0	0	0	0	0	0
adgrf6	0	0	0	0	0	0
adgrf7	0	0	0	0	0	0
adgrf8	0	0	0	0	0	0
adgrg1	0	0	0	0	0	0
adgrg11	0	0	0	0	0	0
adgrg11_1	4.92111678491964	9.7548685888872	0.963118445306481	1.1449380964154	4.07827891059607	1.56515225761431
adgrg2a	0	0	0	0	0	0
adgrg3	0	0	0	0	0	0
adgrg4a	0	0	0	0	0	0
adgrg4a_1	0	0	0.201850550378011	0	0	0
adgrg6	0	0	0	0	0	0
adgrg7.1	0	0	0	0	0	0
adgrl1.1	0	0	0	0	0	0
adgrl1a	0	0	0	0	0	0
adgrl1a_1	0.0766387462875171	0.442346322288739	0	1.02971897294744	0	1.37891805452217
adgrl2a	0	0	0	0	0	0
adgrl3.1	0	0	0	0	0	0
adgrl4	0	0	0	0	0	0
adgrv1	0	0	0	0	0	0
adh5	0	0	0	0	0	0
adh5_1	1048.48376500885	1129.3348307762	772.15481136873	733.28008249943	1254.28061337538	733.765270064329
adh8a	0	0	0	0	0	0
adh8a_1	490.4491390376	316.293859727108	147.988094864709	247.269882501687	718.928926497765	65.8886799043258
adh8b	0	0	0	0	0	0
adh8b_1	366.649729407969	95.6110908952572	217.845710298666	196.03091564728	420.028375711622	166.62453033179
adhfe1	0	0	0	0	0	0
adi1	0	0	0	0	0	0
adipoqa	0	0	0	0	0	0
adipoqb	0	0	0	0	0	0
adipor1a	0	0	0	0	0	0
adipor1a_1	376.899650233257	367.579650287133	584.431603417212	426.35474231516	300.833044346322	519.755498657762
adipor1a_2	293.175772282094	106.712960438666	209.81676137792	348.356901188987	182.423766558554	358.112589816953
adipor1b	0	0	0	0	0	0
adipor2	0	0	0	0	0	0
adka	0	0	0	0	0	0
adkb	0	0	0	0	0	0
adm2a	0	0	0	0	0	0
adm2a_1	11.7509297933326	34.5402275845976	3.5838400698369	0.626530206217199	35.3884768056408	0.244708218547745
adm2b	0	0	0	0	0	0
adma	0	0	0	0	0	0
admb	0	0	0	0	0	0
admb_1	135.849911980029	174.977344270783	26.2969203921696	8.03444928274205	52.777480037827	0
admb_2	181.513747939703	199.869518769555	29.0003421147291	8.76485376299132	54.2641696163574	0
admp	0	0	0	0	0	0
adnp2a	0	0	0	0	0	0
adnp2b	0	0	0	0	0	0
adnpa	0	0	0	0	0	0
adnpa_1	214.624190103592	317.940228305542	380.984802293688	327.452295574806	317.23183811708	359.169986048018
adnpb	0	0	0	0	0	0
adnpb_1	5.08349706940521	22.31930935087	28.7066370386979	21.9333388173801	9.42104006542985	20.8140406576075
adoa	0	0	0	0	0	0
adob	0	0	0	0	0	0
adora1b	0	0	0	0	0	0
adora2aa	0	0	0	0	0	0
adora2aa_1	10.5734118831121	13.0193079251538	11.7455556241084	2.16479191427122	4.54398602789699	7.29259007889154
adora2ab	0	0	0	0	0	0
adora2b	0	0	0	0	0	0
adpgk	0	0	0	0	0	0
adpgk_1	23.6873464631148	54.1463341515633	42.8658502812857	36.1628882718573	22.6777202531192	21.6261382301946
adpgk2	0	0	0	0	0	0
adprh	0	0	0	0	0	0
adprhl1	0	0	0	0	0	0
adprhl2	0	0	0	0	0	0
adprhl2_1	91.0254154256451	42.9167288737856	71.5686514011908	78.4960053220561	104.368095440006	98.7192980244712
adprm	0	0	0	0	0	0
adra1aa	0	0	0	0	0	0
adra1ab	0	0	0	0	0	0
adra1ab_1	0	4.45995753024853	5.61434614674168	5.93265329000877	0	19.9854813938485
adra1ba	0	0	0	0	0	0
adra1bb	0	0	0	0	0	0
adra1bb_1	22.2731093936637	18.9774247677506	1.43850315518707	2.4429528479132	10.8772726560692	7.39474714777511
adra1d	0	0	0	0	0	0
adra2a	0	0	0	0	0	0
adra2a_1	7.24492580736374	8.02539427796518	6.80598846310492	1.82605722485005	2.3587496469953	5.10223574468415
adra2a_2	7.24492580736374	8.02539427796518	6.23882275784618	1.68559128447697	2.3587496469953	3.9501179958845
adra2b	0	0	0	0	0	0
adra2c	0	0	0	0	0	0
adra2c_1	0	4.30030547085164	0	0	0	0
adra2c_2	0	4.30030547085164	0	0	0	0
adra2da	0	0	0	0	0	0
adra2db	0	0	0	0	0	0
adra2db_1	0	5.37124692945797	0	0.893106760304806	0.908929606104687	0
adrb1	0	0	0	0	0	0
adrb1_1	10.4629149661355	6.40502500351416	3.07156693368013	0	3.25160075304281	0
adrb2a	0	0	0	0	0	0
adrb2b	0	0	0	0	0	0
adrb2b_1	0	0	0.508044327556684	0.301977035182985	0	0
adrb3a	0	0	0	0	0	0
adrb3b	0	0	0	0	0	0
adrbk2	0	0	0	0	0	0
adrm1	0	0	0	0	0	0
adrm1_1	134.536511549704	241.879835323657	218.834242363348	404.884496822116	141.137869291693	542.230285506851
adsl	0	0	0	0	0	0
adsl_1	80.9469936364102	237.565841747083	288.644379415744	475.552709642938	149.74950807535	366.422733098006
adsl_2	99.6453351360653	159.980523929702	259.863831814997	224.018655692454	51.6831357563527	454.913157471308
adss	0	0	0	0	0	0
adssl	0	0	0	0	0	0
adssl1	0	0	0	0	0	0
aebp1	0	0	0	0	0	0
aebp2	0	0	0	0	0	0
aep1	0	0	0	0	0	0
aes	0	0	0	0	0	0
aes_1	37.604443871131	16.7544825829582	4.34604736485334	6.58475986329705	10.4387498320735	2.07726751572942
afap1	0	0	0	0	0	0
afap1_1	9.69759152672876	13.2469229549491	2.12947611364056	2.73003108560774	10.3242745639306	1.23592362283558
afap1l1a	0	0	0	0	0	0
afap1l1a_1	0	35.0775309678887	40.3298667162646	34.849390320465	16.6946254182493	49.0350899798186
afap1l1a_2	1.82320810241921	30.6928395969026	28.4075338548872	41.8484310542823	10.4619652621029	31.2662768860864
afap1l1b	0	0	0	0	0	0
afap1l2	0	0	0	0	0	0
afap1l2_1	21.2107859630692	34.7229343315424	5.76797163886975	3.69032514607202	23.6245977722564	2.371262625293
aff1	0	0	0	0	0	0
aff2	0	0	0	0	0	0
aff3	0	0	0	0	0	0
aff3_1	11.6238346099243	6.25219616756536	6.05421312853547	2.31907876804072	2.68570504360851	2.52993324612652
aff4	0	0	0	0	0	0
afg1la	0	0	0	0	0	0
afg1lb	0	0	0	0	0	0
afg3l2	0	0	0	0	0	0
afmid	0	0	0	0	0	0
afp4	0	0	0	0	0	0
aftpha	0	0	0	0	0	0
aftphb	0	0	0	0	0	0
aftphb_1	78.4983819696544	84.1973361189517	42.0793251449741	27.3721074276858	53.4778670849617	76.3566552529069
aga	0	0	0	0	0	0
aga_1	47.3291106461864	90.1830675679526	95.2291665542002	115.303162433834	47.1161754437213	95.1870861302557
agap1	0	0	0	0	0	0
agap1_1	24.2195899536695	18.2215807188584	21.712253487312	17.6699927158313	27.6100947479888	21.842676304901
agap2	0	0	0	0	0	0
agap3	0	0	0	0	0	0
agbl1	0	0	0	0	0	0
agbl2	0	0	0	0	0	0
agbl4	0	0	0	0	0	0
