gene	zcount_FAC_hypoxia-1	zcount_FAC_hypoxia-2	zcount_FAC_hypoxia-3	zcount_WT_hypoxia-1	zcount_WT_hypoxia-2	zcount_WT_hypoxia-3	zcount_WT_normoxia-1	zcount_WT_normoxia-2	zcount_WT_normoxia-3
acsf3_2	0	21.9868174748478	15.0430423500555	22.1182193556622	16.9897543691928	37.6416963703883	21.9432130194278	30.6518396161912	21.6833372986421
acsl1a	0	0	0	0	0	0	0	0	0
acsl1a_1	0	0.637495633138708	0	0.115234592475087	0.255563832866987	0.0965469410534563	0.0817503964171417	0.360721108521639	0.741539335321094
acsl1b	0	0	0	0	0	0	0	0	0
acsl2	0	0	0	0	0	0	0	0	0
acsl3a	0	0	0	0	0	0	0	0	0
acsl3b	0	0	0	0	0	0	0	0	0
acsl4a	0	0	0	0	0	0	0	0	0
acsl4a_1	0	481.856171879221	420.57357828865	504.624612260911	353.814975470086	573.281894120076	702.959645291887	1079.8373239469	824.745136622816
acsl4b	0	0	0	0	0	0	0	0	0
acsl5	0	0	0	0	0	0	0	0	0
acsl6	0	0	0	0	0	0	0	0	0
acsm3	0	0	0	0	0	0	0	0	0
acss1	0	0	0	0	0	0	0	0	0
acss1_1	0	6.86774111779253	21.9881478836326	8.84513448882291	5.85052755332548	3.31531969421818	4.12826768199959	3.15741471230592	5.24252139432302
acss2	0	0	0	0	0	0	0	0	0
acss2_1	0	116.252313509307	85.9580081062946	145.759860690771	85.5524282585312	133.184464516783	132.609227237088	117.107870400571	135.086660945541
acss2l	0	0	0	0	0	0	0	0	0
acss3	0	0	0	0	0	0	0	0	0
acta1a	0	0	0	0	0	0	0	0	0
acta1b	0	0	0	0	0	0	0	0	0
acta2	0	0	0	0	0	0	0	0	0
actb1	0	0	0	0	0	0	0	0	0
actb1_1	0	8552.14911958133	8751.51110835583	7617.20717897633	7380.86348626445	11490.9912242242	7852.93501651167	9281.31211314873	10114.8089057106
actb2	0	0	0	0	0	0	0	0	0
actc1a	0	0	0	0	0	0	0	0	0
actc1b	0	0	0	0	0	0	0	0	0
actl6a	0	0	0	0	0	0	0	0	0
actl6a_1	0	386.127185341899	314.742932059783	444.341687220357	295.226164721814	301.355291030565	391.386891312228	508.877382535626	489.937379410504
actl6b	0	0	0	0	0	0	0	0	0
actn1	0	0	0	0	0	0	0	0	0
actn2a	0	0	0.262710686447439	0	0	0	0	0	0
actn2b	0	0	0	0	0	0	0	0	0
actn2b_1	0	6.17604446660418	4.44777368536825	9.47878591350382	7.2875462111042	11.435913312819	6.36585580111317	7.25306504967225	8.8105877386228
actn3a	0	0	0	0	0	0	0	0	0
actn3a_1	0	2.37261211323237	0.758274833550075	1.63752901792712	1.90229960503078	0.685985059570175	0.912768515036979	0.732284178977554	2.50894440107596
actn3b	0	0	0	0	0	0	0	0	0
actn4	0	0	0	0	0	0	0	0	0
actr1	0	0	0	0	0	0	0	0	0
actr10	0	0	0	0	0	0	0	0	0
actr2a	0	0	0	0	0	0	0	0	0
actr2b	0	0	0	0	0	0	0	0	0
actr3	0	0	0	0	0	0	0	0	0
actr3b	0	0	0	0	0	0	0	0	0
actr5	0	0	0	0	0	0	0	0	0
actr6	0	0	0	0	0	0	0	0	0
actr8	0	0	0	0	0	0	0	0	0
acvr1ba	0	0	0	0	0	0	0	0	0
acvr1bb	0	0	0	0	0	0	0	0	0
acvr1c	0	0	0	0	0	0	0	0	0
acvr1l	0	0	0	0	0	0	0	0	0
acvr2aa	0	0	0	0	0	0	0	0	0
acvr2ab	0	0	0	0	0	0	0	0	0
acvr2b	0	0	0	0	0	0	0	0	0
acvrl1	0	0	0	0	0	0	0	0	0
acy1	0	0	0	0	0	0	0	0	0
acy3.1	0	0	0	0	0	0	0	0	0
acy3.2	0	0	0	0	0	0	0	0	0
acyp1	0	0	0	0	0	0	0	0	0
acyp2	0	0	0	0	0	0	0	0	0
ada	0	0	0	0	0	0	0	0	0
adad1	0	0	0	0	0	0	0	0	0
adad2	0	0	0	0	0	0	0	0	0
adal	0	0	0	0	0	0	0	0	0
adal_1	0	20.6305198513432	20.9549782399831	23.8836488131911	11.3371051402963	19.1678813213141	12.1281059169161	17.3136422235514	15.3692261026611
adam10a	0	0	0	0	0	0	0	0	0
adam10b	0	0	0	0	0	0	0	0	0
adam11	0	0	0	0	0	0	0	0	0
adam12	0	0	0	0	0	0	0	0	0
adam12_1	0	0	0	0	0	0	0	0	0
adam15	0	0	0	0	0	0	0	0	0
adam17a	0	0	0	0	0	0	0	0	0
adam17b	0	0	0	0	0	0	0	0	0
adam19a	0	0	0	0	0	0	0	0	0
adam19b	0	0	0	0	0	0	0	0	0
adam22	0	0	0	0	0	0	0	0	0
adam23a	0	0	0	0	0	0	0	0	0
adam28	0	0	0	0	0	0	0	0	0
adam28_1	0	0	0	0	0.188133048627332	0	0	0	0
adam28_2	0	0	0.235367329286583	0	0.375754170591732	0	0	0	0
adam8a	0	0	0	0	0	0	0	0	0
adam8b	0	0	0	0	0	0	0	0	0
adam9	0	0	0	0	0	0	0	0	0
adamts1	0	0	0	0	0	0	0	0	0
adamts10	0	0	0	0	0	0	0	0	0
adamts12	0	0	0	0	0	0	0	0	0
adamts13	0	0	0	0	0	0	0	0	0
adamts13_1	0	0.210980077851744	0	0	0	0	0	0	0.0818044958864498
adamts15a	0	0	0	0	0	0	0	0	0
adamts15a_1	0	0.838102531482437	0.360782037592573	0.129854205354269	0.19199118205417	0	0.184243854837938	0.677475283181065	0
adamts17	0	0	0	0	0	0	0	0	0
adamts18	0	0	0	0	0	0	0	0	0
adamts2	0	0	0	0	0	0	0	0	0
adamts2_1	0	0	0	0	0.338870325625673	0.768110878270689	0.650392110881899	3.34814103754196	0
adamts3	0	0	0	0	0	0	0	0	0
adamts3_1	0	10.274724547033	10.5783660970189	19.5013709293782	15.0343698904544	21.2404710242154	13.0442176153383	38.6621655229957	32.269403021624
adamts3_2	0	11.0453288880605	8.77230359264983	20.6157349824855	9.26776226123904	19.8400004072341	10.8701813461152	46.2201828432805	33.7633568652177
adamts5	0	0	0	0	0	0	0	0	0
adamts6	0	0	0	0	0	0	0	0	0
adamts7	0	0	0	0	0	0	0	0	0
adamts8a	0	0	0	0	0	0	0	0	0
adamts8a_1	0	15.8827074049824	3.40504075064133	11.3704431657202	8.70767661045958	11.0096592489145	11.2544386637432	10.3014024606608	16.4302250212615
adamts9	0	0	0	0	0	0	0	0	0
adamtsl2	0	0	0	0	0	0	0	0	0
adamtsl3	0	0	0	0	0	0	0	0	0
adamtsl4	0	0	0	0	0	0	0	0	0
adamtsl5	0	0	0	0	0	0	0	0	0
adamtsl7	0	0	0	0	0	0	0	0	0
adamtsl7_1	0	9.44979146337852	15.4623837960969	8.26527762841218	12.0981204527024	12.8803017740104	12.0790189707923	6.20951062209108	9.75102351630562
adap2	0	0	0	0	0	0	0	0	0
adar	0	0	0	0	0	0	0	0	0
adarb1a	0	0	0	0	0	0	0	0	0
adarb1b	0	0	0	0	0	0	0	0	0
adarb2	0	0	0	0	0	0	0	0	0
adat1	0	0	0	0	0	0	0	0	0
adat2	0	0	0	0	0	0	0	0	0
adat3	0	0	0	0	0	0	0	0	0
adck1	0	0	0	0	0	0	0	0	0
adck2	0	0	0	0	0	0	0	0	0
adck2_1	0	11.3451426430755	7.37996180535975	12.7733280488272	7.01710305714516	10.5055064522577	6.65081016773836	13.0836457778655	14.0765317237783
adck3	0	0	0	0	0	0	0	0	0
adck4	0	0	0	0	0	0	0	0	0
adck4_1	0	17.3319507121548	10.7437944788781	22.5572211756436	13.1022389414929	18.6291181309167	15.7740657082131	32.2794571729174	26.6120515286869
adck5	0	0	0	0	0	0	0	0	0
adcy1a	0	0	0	0	0	0	0	0	0
adcy1b	0	0	0	0	0	0	0	0	0
adcy2a	0	0	0	0	0	0	0	0	0
adcy2a_1	0	0	0	0	0	0	0	0	0
adcy2b	0	0	0	0	0	0	0	0	0
adcy3a	0	0	0	0	0	0	0	0	0
adcy3b	0	0	0	0	0	0	0	0	0
adcy5	0	0	0	0	0	0	0	0	0
adcy6a	0	0	0	0	0	0	0	0	0
adcy6a_1	0	5.29004747401717	4.52957669956355	5.83147382322818	3.75470368348083	6.06782454253235	5.60496524559098	6.52643050935765	7.41436654899536
adcy6a_2	0	4.77183828572458	3.38113054538941	5.37598083545607	3.47003650129253	6.11758411586615	4.75309376350842	5.69323687716541	7.35781893961158
adcy6b	0	0	0	0	0	0	0	0	0
adcy6b_1	0	2.47708222820127	1.24404178487134	2.52853163319276	1.57716614115756	4.6341714895667	2.1862006392112	5.44163966670841	3.89830950913372
adcy7	0	0	0	0	0	0	0	0	0
adcy8	0	0	0	0	0	0	0	0	0
adcy8_1	0	7.7239291915968	5.03604604244582	7.4953257234523	5.10638388005169	3.81713637677202	8.34098458487407	14.7217351229225	8.6692813323567
adcy9	0	0	0	0	0	0	0	0	0
adcyap1a	0	0	0	0	0	0	0	0	0
adcyap1b	0	0	0	0	0	0	0	0	0
adcyap1r1a	0	0	0	0	0	0	0	0	0
adcyap1r1b	0	0	0	0	0	0	0	0	0
adcyap1r1b_1	0	0	0	0	0	0	0	0.1463835065499	0
add1	0	0	0	0	0	0	0	0	0
add2	0	0	0	0	0	0	0	0	0
add3a	0	0	0	0	0	0	0	0	0
add3a_1	0	5.95951800067962	1.19719714204594	14.2197094700572	9.55637769498004	15.1628808322985	2.75122614378242	21.5816901282981	22.1828883516585
add3b	0	0	0	0	0	0	0	0	0
add3b_1	0	0.141694833582592	0.284648271535399	0.46103317417223	0	0.386267194029583	0.32706884226784	0.160353466862355	0.164820411703756
adgb	0	0	0	0	0	0	0	0	0
adgra1	0	0	0	0	0	0	0	0	0
adgra1a	0	0	0	0	0	0	0	0	0
adgra1a_1	0	0	0	0	0	0	0	0	0
adgra2	0	0	0	0	0	0	0	0	0
adgra3	0	0	0	0	0	0	0	0	0
adgrb1a	0	0	0	0	0	0	0	0	0
adgrb1b	0	0	0	0	0	0	0	0	0
adgrb2	0	0	0	0	0	0	0	0	0
adgrb3	0	0	0	0	0	0	0	0	0
adgrb3_1	0	0	0	0	0	0	0	0	0
adgrd1	0	0	0	0	0	0	0	0	0
adgrd2	0	0	0	0	0	0	0	0	0
adgre10	0	0	0	0	0	0	0	0	0
adgre13	0	0	0	0	0	0	0	0	0
adgre13_1	0	3.77697522411493	2.65562480083217	1.22891627896128	0.302828196693995	2.40245206169642	1.16243326835251	1.7097336751859	1.75736149496417
adgre14	0	0	0	0	0	0	0	0	0
adgre15	0	0	0	0	0	0	0	0	0
adgre5b.2	0	0	0	0	0	0	0	0	0
adgre5b.3	0	0	0	0	0	0	0	0	0
adgre9	0	0	0	0	0	0	0	0	0
adgrf11	0	0	0	0	0	0	0	0	0
