gene	zcount_L-brain-1_S70	zcount_L-brain-2_S71	zcount_L-brain-3_S72	zcount_L-ovary-1_S64	zcount_L-ovary-2_S65	zcount_L-ovary-3_S66	zcount_N-brain-1_S67	zcount_N-brain-2_S68	zcount_N-brain-3_S69	zcount_N-ovary-1_S61	zcount_N-ovary-2_S62	zcount_N-ovary-3_S63
acot22	0	0	0	0	0	0	0	0	0	0	0	0
acot7	0	0	0	0	0	0	0	0	0	0	0	0
acot8	0	0	0	0	0	0	0	0	0	0	0	0
acot9.1	0	0	0	0	0	0	0	0	0	0	0	0
acot9.1_1	25.5349378726252	143.677973855835	68.9224085080602	65.0088410200438	136.871723260294	58.1922286900679	140.872498689497	173.828391446947	159.596742115775	154.187793579316	151.158720314741	152.807722927814
acot9.2	0	0	0	0	0	0	0	0	0	0	0	0
acot9.2_1	0	1.6830155419119	1.58899888566367	0.135357077037711	0.542786476426164	0	1.61169055018111	2.39213052707838	10.1427361985154	1.37491621536813	0.871803209187075	2.15715337598629
acox1	0	0	0	0	0	0	0	0	0	0	0	0
acox3	0	0	0	0	0	0	0	0	0	0	0	0
acoxl	0	0	0	0	0	0	0	0	0	0	0	0
acp1	0	0	0	0	0	0	0	0	0	0	0	0
acp2	0	0	0	0	0	0	0	0	0	0	0	0
acp5a	0	0	0	0	0	0	0	0	0	0	0	0
acp5a_1	1596.36775960688	23.3295449230387	298.148122708046	1347.17356571486	1520.59470187217	1355.70743979593	11.9151229543683	308.095607542763	170.322131386352	1573.49026031309	1139.96893248788	921.964332746582
acp5b	0	0	0	0	0	0	0	0	0	0	0	0
acp5b_1	0.735172441372565	0.618580869309457	0.467220551467513	0.397996554617948	0.99748731391896	0.79184213832467	1.18473171133799	3.01443853591689	30.8882598169298	3.23418282120502	1.46480144499429	4.10414913708057
acp5b_2	0	0.620040934303894	0.468323353713305	0.398935964266928	1.39977842101169	1.11119562385199	0	0	1.42350192198264	0.20261353826786	0.550597081310798	0
acp6	0	0	0	0	0	0	0	0	0	0	0	0
acrc	0	0	0	0	0	0	0	0	0	0	0	0
acsbg1	0	0	0	0	0	0	0	0	0	0	0	0
acsbg2	0	0	0	0	0	0	0	0	0	0	0	0
acsf2	0	0	0	0	0	0	0	0	0	0	0	0
acsf3	0	0	0	0	0	0	0	0	0	0	0	0
acsf3_1	18.5835256013621	9.19785279528767	6.39145499491179	25.3287088386599	39.6308881297423	10.5496144755621	5.16739190871169	4.18343648666462	8.65780913357109	11.4213686639369	18.0778518203299	22.3021366210162
acsf3_2	25.343046661913	14.2159153896899	18.4463514487345	49.0161658704451	56.5452581910875	46.1008881413007	12.5662662370041	11.5460525050545	6.27637931142437	43.9526118566549	52.4371138927178	50.6774923533626
acsl1a	0	0	0	0	0	0	0	0	0	0	0	0
acsl1a_1	10.8337024634714	74.1400272632868	67.7492858014146	18.924355607827	5.64451056947307	3.73401684475865	99.9403908037762	143.333669977092	85.1060514445063	5.63974346293336	10.9367624236681	12.8290624489949
acsl1b	0	0	0	0	0	0	0	0	0	0	0	0
acsl2	0	0	0	0	0	0	0	0	0	0	0	0
acsl3a	0	0	0	0	0	0	0	0	0	0	0	0
acsl3b	0	0	0	0	0	0	0	0	0	0	0	0
acsl4a	0	0	0	0	0	0	0	0	0	0	0	0
acsl4a_1	52.873127678714	349.447197038001	300.514919003398	35.1791864997606	29.1509410851958	42.459767477392	466.535175054272	318.885819935113	240.402360300544	44.8322654516503	35.4741833815957	30.6667800624085
acsl4b	0	0	0	0	0	0	0	0	0	0	0	0
acsl5	0	0	0	0	0	0	0	0	0	0	0	0
acsl6	0	0	0	0	0	0	0	0	0	0	0	0
acsm3	0	0	0	0	0	0	0	0	0	0	0	0
acss1	0	0	0	0	0	0	0	0	0	0	0	0
acss1_1	28.8860932525097	35.3527638504785	31.1526944148581	25.5893186649498	42.5974937574967	28.1585971422481	30.4063915729443	32.3023852830123	47.0635899461478	42.6796266036309	31.8293140157382	20.7311254627497
acss2	0	0	0	0	0	0	0	0	0	0	0	0
acss2_1	58.8220742787396	169.847817430753	100.031499149779	117.186679230436	62.439111302448	53.7610875931745	184.0923653798	64.7606404983467	163.154110489983	102.616104715599	121.080355479134	78.3166444057402
acss2l	0	0	0	0	0	0	0	0	0	0	0	0
acss3	0	0	0	0	0	0	0	0	0	0	0	0
acta1a	0	0	0	0	0	0	0	0	0	0	0	0
acta1b	0	0	0	0	0	0	0	0	0	0	0	0
acta2	0	0	0	0	0	0	0	0	0	0	0	0
actb1	0	0	0	0	0	0	0	0	0	0	0	0
actb1_1	4712.12620336654	3682.35200490907	2364.68677210958	5028.44809532976	11673.6804481331	5433.41110086253	5308.87595328659	5563.59021485607	8762.8162643042	12268.0145033466	12086.0834678714	12145.7577254659
actb2	0	0	0	0	0	0	0	0	0	0	0	0
actc1a	0	0	0	0	0	0	0	0	0	0	0	0
actc1b	0	0	0	0	0	0	0	0	0	0	0	0
actl6a	0	0	0	0	0	0	0	0	0	0	0	0
actl6a_1	233.511611349529	268.298194365164	275.953704562923	404.083919545284	520.700607595217	462.494059237759	284.190356258427	274.313906768438	238.661355897331	505.176878371212	458.495479881878	452.570000403762
actl6b	0	0	0	0	0	0	0	0	0	0	0	0
actn1	0	0	0	0	0	0	0	0	0	0	0	0
actn2a	0.355584544536313	105.914008251742	23.0502567282082	0.192500991109819	0	0.61279081805657	60.3586473395718	55.8903302831162	47.738925788677	0	0	0.180461310162237
actn2b	0	0	0	0	0	0	0	0	0	0	0	0
actn2b_1	12.1987392005693	30.1258927968633	13.0888138927688	19.7261418190377	18.3999290471996	18.9748520848934	12.5949218333447	25.9837259455895	20.9633050718091	25.1771996830217	15.5460477444933	12.8642785106179
actn3a	0	0	0	0	0	0	0	0	0	0	0	0
actn3a_1	6.81783822782594	123.614303624804	3.35450898129398	0.793750173110934	0.477444773174485	0.505350975191298	6.61580300670772	9.01783350365871	36.678238431085	0.645013918944145	1.02247176631646	0.818516906800351
actn3b	0	0	0	0	0	0	0	0	0	0	0	0
actn4	0	0	0	0	0	0	0	0	0	0	0	0
actr1	0	0	0	0	0	0	0	0	0	0	0	0
actr10	0	0	0	0	0	0	0	0	0	0	0	0
actr2a	0	0	0	0	0	0	0	0	0	0	0	0
actr2b	0	0	0	0	0	0	0	0	0	0	0	0
actr3	0	0	0	0	0	0	0	0	0	0	0	0
actr3b	0	0	0	0	0	0	0	0	0	0	0	0
actr5	0	0	0	0	0	0	0	0	0	0	0	0
